가수명,노래제목,발매일,가사,좋아요수
이진성 (먼데이 키즈),Letter,2009-02-12,텅 빈 방안에 앉아 너의 사진을 본다 해맑았던 미소가 날 붙잡아 발이 떨어지질 않아 못난 나의 자존심땜에 많이 다퉜었지만 항상 내 걱정만 했던 너라서 이젠 내 맘이 아프다 못해준게 너무나 많아서 사랑한단 한마딜 못해서 아픈 가슴 꼭 잡고 너를 소리쳐 부른다 미안하다 많이 보고싶구나 혼자 남겨졌단 사실에 너무 슬펐었지만 이젠 너를 위해 기도를 할께 부디 아프지 않기를 못해준게 너무나 많아서 사랑한다 한마딜 못해서 아픈 가슴 꼭 잡고 너를 소리쳐 부른다 미안하다 많이 보고싶구나 혹시 나를 보고 있다면 지금이라도 내 얘길 들어줄 수 있다면 홀로 남겨뒀다 미안해 말아 그 맘 다 알아 나 기억할테니 괜찮아 함께여서 참 행복했는데 둘이라서 정말 좋았었는데 눈부시게 빛나던 우리 추억을 삼킨다 고마웠다 나의 친구여 안녕,9966
김나영,너의 번호를 누르고,2022-04-12,우연히 너를 만나서 너의 옆자리에 앉아 그렇게 우린 친해졌어 짧은 시간에 그렇게 가까워질 수 있다는 게 그게 참 신기했어 소소한 일상부터 어린 시절 얘기까지도 그리 똑같진 않아도 말이 참 잘 통해서 더 짧았던 거야 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 우린 여기까지인가 봐 어쩌다 먼 훗날에 그때 우리 약속 기억날까 아쉬움만 가득했던 그때 난 왜 그랬을까 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 우린 여기까지인가 봐 아무 일 없이 살다 보면 모두 잊혀질 거라 또 맘을 속이고 달래도 자꾸만 그때 네가 생각나 또 너를 부르게 돼 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 스쳐 가버린 그때 그 시절 속의 우린 여기까지인가 봐 ,17641
노형돈,생각이나,2022-06-01,하루가 지나고 일년이 지나면 다 잊은 거라 생각했어 깊이 닫힌 상처가 빨리 낫지 않듯이 우리의 사랑도 그런가 봐 너를 찾는 습관들이 날 괴롭혀 이렇게 원망하다가 웃고 있는 네 모습이 날 괴롭혀 난 너를 잊을 수 없을 것 같아 생각이 나 생각이 나 바보처럼 하지만 네 곁에 갈 수 없는 난 눈물이 나 눈물이 나 흘러 이젠 지울 수 없는 내 가슴 속 깊은 그대 웃고 있는 네 모습이 날 괴롭혀 난 너를 잊을 수 없을 것 같아 생각이 나 생각이 나 바보처럼 하지만 네 곁에 갈 수 없는 난 눈물이 나 눈물이 나 흘러 이젠 지울 수 없는 내 가슴 속 깊은 그대 이젠 지울 수 없는 내 가슴 속 깊은 그대 ,97
경서예지,사실 나는 (Feat.전건호),2020-04-12,그땐 우리 둘 다 철없이 어리기만 했나 봐 태어나 처음 설레는 너를 만나서 세상에 부러울 거 하나 없이 좋았어 매일 너만 기다렸어 행복한 시간뿐이었어 너에게 받은 만큼 잘해주지 못해서 미안해 사실 나는 니가 보고 싶어 겉으로는 티 안 나게 사람들과 웃곤 해도 정말 많이 그리워 상처 줬던 말과 행동들 전부 미안해 후회돼 아직 니 생각뿐이야 그땐 나도 너무 어려서 사랑을 몰랐나 봐 태어나 처음 설레는 너를 만나서 세상에 부러울 거 하나 없이 좋았어 나도 너만 기다렸어 꿈같던 시간뿐이었어 너에게 사랑 주는 게 그렇게 좋았었어 사실 나도 많이 보고 싶어 겉으로는 티 안 나게 사람들과 어울려도 정말 니가 그리워 상처 줬던 말과 행동들 전부 미안해 후회돼 모두 되돌리고 싶어 더 잘해주고 아껴줬다면 내 곁에 있을까 헤어지기 전으로 돌아간다면 좀 더 노력하고 애쓸 텐데 이렇게 아플 걸 알면 절대 놓지 않을 텐데 정말 잘해줄 텐데 혹시 너도 그리웠다면 조금 니 맘도 내 맘과 같은 마음뿐이라면 당장 달려가 널 안고서 말하고 싶어 아직은 널 지우지 못한다고 널 보내기는 싫다고 후회하기는 싫다고 돌아와 줄래 나에겐 너뿐이라고 내겐 ,94210
멜로망스,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),2021-11-26,너를 위해 해줬었던 말들은 부담을 줬고 네가 내게 해줬던 위로에 나 상처 입었죠 사랑이란 모든 것 주는 거라 너는 말했고 난 서로의 삶을 지키자 했었죠 이번 문제만 넘어가면 전보다 더 나아질 거라 생각했는데 같은 곳을 맴돌고 있었죠 이제는 안될 것 같아 더 이상 힘들 것 같아 날 지워가며 사랑하는 게 좀 더 내게 맞는 사람 찾아 만나는 날 사랑해보려 노력할 것 같아 익숙해져만 가는 서로의 불편함 속에서 이별의 시간은 다가오고 있었죠 사랑하니까 괜찮다고 이 정도면 충분하다고 우린 이겨낼 수 있다고 믿고 있었던 건 내 욕심이었죠 이제는 안될 것 같아 더 이상 힘들 것 같아 날 지워가며 사랑하는 게 좀 더 내게 맞는 사람 찾아 만나는 날 사랑해보려 노력할 것 같아 내가 원하는 사람과 사랑에 빠지게 되는 날 그 날을 기다렸는데 이젠 내게 맞는 사람과 사랑하려 노력하는 게 조금 더 편할 것 같아 그게 덜 아플 것 같아 날 지켜가며 사랑하는 게 좀 더 편하게 지낼 수 있는 그런 사랑하게 되는 게 뜨겁게 사랑했던 날보다 이젠 내게 더 편할 것 같아 ,36203
주호,내가 아니라도,2022-03-25,사랑이었다 별거 없던 내 하루에 빛이 돼준 단한 사람 나보다 나를 더 아껴 주던 너를 그땐 왜 몰랐을까 행복이었다 다시는 없을 것 같던 잠시나마 행복했었다 다른 사람 곁에 있는 널 생각해 본 적 없지만 이젠 너를 보내줘야 할 것 같아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 내 전부였다 무엇도 바꿀 수 없던 우리라서 행복했었다 다른 누구라도 나보다 더 좋은 사람 만나서 이젠 나를 잊고 행복하게 살아 내가 아니라도 눈부시게 사랑받았을 너라서 그 소중한 시간을 나와 함께해 줘서 고마웠어 예쁘고 아름다웠던 너의 그날에 함께했던 그 모든 순간이 행복했어 어두웠던 내 하루에 빛이 되어주던 그날들을 어떻게 잊고 살아 과분했던 너라는 사람을 만나 누구보다 사랑했었다 내가 아니었다면 눈부시게 사랑받았을 너란 걸 이 세상에 누구보다 더 잘 알아서 미안했어 너와 함께한 날들이 더 말할 게 있을까 행복한 기억만 가져갈게 ,50688
임영웅,사랑은 늘 도망가,2021-10-11,눈물이 난다 이 길을 걸으면 그 사람 손길이 자꾸 생각이 난다 붙잡지 못하고 가슴만 떨었지 내 아름답던 사람아 사랑이란 게 참 쓰린 거더라 잡으려 할수록 더 멀어지더라 이별이란 게 참 쉬운 거더라 내 잊지 못할 사람아 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까 봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을 텐데 바람이 분다 옷깃을 세워도 차가운 이별의 눈물이 차올라 잊지 못해서 가슴에 사무친 내 소중했던 사람아 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까 봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을 텐데 기다림도 애태움도 다 버려야 하는데 무얼 찾아 이 길을 서성일까 무얼 찾아 여기 있나 사랑아 왜 도망가 수줍은 아이처럼 행여 놓아버릴까 봐 꼭 움켜쥐지만 그리움이 쫓아 사랑은 늘 도망가 잠시 쉬어가면 좋을 텐데 잠시 쉬어가면 좋을 텐데 ,169270
노을,늦은 밤 너의 집 앞 골목길에서,2019-11-07,오래되었어 그때 너의 웃음 너의 목소리 잊혀진거 같아 시간의 위로 그 말의 의미를 이젠 알아 아픈 니 얘기도 적당히 할 수 있어 그런데 이게 뭐랄까 난 난 술 한잔하면서 괜찮은 듯 얘기하며 널 털어냈는데 집으로 돌아오면서 한 번 더 떠오른 기억에 걸음을 멈춰 서서 이렇게 울고 있어 자연스럽게 발걸음을 돌려 나 바래다주던 익숙한 길을 가 밤이 깊어져서 아무것도 보이지 않아도 손을 흔들면서 인사하던 널 봤어 그런데 이게 뭐랄까 난 난 술 한잔하면서 괜찮은 듯 얘기하며 널 털어냈는데 집으로 돌아오면서 한 번 더 떠오른 기억에 걸음을 멈춰 서서 이렇게 울고 있어 아무도 없어서 참 다행이야 나 이렇게 편안히 너를 부를 수 있는 걸 외로운 위로겠지만 그래서 이젠 뭘 할까 난 난 널 생각했어도 괜찮은 듯 얘기하며 다 지워냈는데 집으로 돌아오면서 한 번 더 떠오른 추억에 걸음을 멈춰 서서 또다시 울고 있어 ,196953
노형돈,이별을 통보받은 날,2021-10-11,그냥 똑같이 너를 만나서 그냥 평소와 같은 곳에 가서 이별을 통보받은 그날 나는 어떤 말을 해야 했을까 그날 똑같이 예쁜 얼굴로 그날 처음 만난 네 모습 그대로 사랑을 끝내자는 네 말 나는 어떤 말을 해야 했을까 아직 사랑한단 말도 서투른데 아직 끝내기엔 너무 많이 이른데 너를 만나서 너를 알아서 내가 참 많이 행복했었는데 이제 헤어진다는 걸 알면서 이제 보내줘야 하는 걸 너무 잘 알면서 너를 보내며 나를 달래며 혼자 널 잡을 말을 생각해 니 맘 몰라줬던 나를 탓하며 니 말 모른 척했던 그때를 탓하며 이별을 준비 못 한 내가 네게 어떤 말을 해야 했을까 아직 사랑한단 말도 서투른데 아직 끝내기엔 너무 많이 이른데 너를 만나서 너를 알아서 내가 참 많이 행복했었는데 이제 헤어진다는 걸 알면서 이제 보내줘야 하는 걸 너무 잘 알면서 너를 보내며 나를 달래며 혼자 널 잡을 말을 생각해 미안 미안 ,444
세윤,이별을 통보했던 날,2021-11-30,미안하다는 너의 그 말이 이젠 더 이상 듣고 싶지 않아 사랑이 식어버린 나는 너의 눈물에도 괜찮은가 봐 맞아 차가운 우리 모습이 정말 처음과는 달라진 것 같아 이제는 끝내고픈 사랑 더는 너를 만날 자신이 없어 다시 사랑한단 말도 못 할 거야 다시 만나기엔 늦은 걸 잘 알잖아 너를 만나서 너를 알아서 나도 참 많이 행복했었는데 이제 헤어진다는 걸 알잖아 이제 보내줘야 하는 걸 잘 알고 있잖아 너를 보내며 나를 달래며 혼자 남겨진 널 두고 떠나 내 맘 몰라줬던 너를 탓하며 내 말 모른 척했던 그때 널 탓하며 이별을 준비했던 나를 사실 너도 전부 알고 있잖아 다시 사랑한단 말도 못 할 거야 다시 만나기엔 늦은 걸 잘 알잖아 너를 만나서 너를 알아서 나도 참 많이 행복했었는데 이제 헤어진다는 걸 알잖아 서로 보내줘야 하는 걸 잘 알고 있잖아 너를 보내며 나를 달래며 혼자 남겨진 널 두고 떠나 미안 미안 ,133
