가수명,노래제목,발매일,가사,좋아요수
김제훈,좋은 꿈이었길 바래,2019-09-18,만남 이별 짧지 않았던 시간을 지나 뒤돌아보면 그래도 정말 즐거웠었지 널 미워했던 마음은 어느덧 사라져 가고 하나 둘 아득했던 장면들만 채워지고 있어 길었던 하루 가만히 낯설은 기억을 찾고 있다가 내 어깨에 웃으며 기댔던 그 시절 넌 아름다웠어 아마 난 너를 떠올릴 시간은 줄어들지 몰라도 많은 웃음을 줬던 널 잊지 못할 거야 나밖에 모르는 나를 좋아해서 그게 참 미안해 꼭 어제 같았던 그날들은 참 행복했지 너도 좋은 꿈이었길 바래 좋은 꿈이었길 바래 누군갈 만나도 네가 준 사랑과 비교할 것 같아 환하게 피었던 도시의 모습도 예전 같지 않아 집을 향하는 거리에 사람들 틈사이로 멍하니 걷고 있다가 한번쯤 생각에 떠올려본 우린 너무 아름다웠어 아마 난 너를 떠올릴 시간은 줄어들지 몰라도 많은 웃음을 줬던 널 잊지 못할 거야 나밖에 모르는 나를 좋아해서 그게 참 미안해 꼭 어제 같았던 그날들은 참 행복했지 너도 좋은 꿈이었길 안녕 기억의 한켠에 오래 머물러줘 고마워 안녕 뒤늦게 찾아온 그리움에 이제야 많은걸 깨달았어 너는 어때 날생각할까 아직 난 누굴 받아들이기엔 시간이 필요한가봐 혹시나 모를 네가 다시 올까봐 어디선가 이 노래 듣고 있다면 나를 생각해줘 꼭 어제 같았던 그날들은 참 행복했지 너도 좋은 꿈이었길 바래 좋은 꿈이었길 바래 좋은 꿈이었길 ,793
양다일,Darling,2020-11-23,Oh darling 처음 널 만나면 수줍은 대화들로 사랑에 빠질 거야 My darling 아마도 우린 손을 마주 잡고서 도시를 거닐 거야 비라도 오면 골목 어귀에 발을 멈추고서 바라보다가 입을 맞출지도 몰라 어둠이 오면 밝게 빛나는 별빛들 아래서 음악에 취해 서로에게 기대어 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 Oh darling 잊지 못할 거야 서로를 품에 안고 온기를 느끼던 날 My darling 따스할 거야 함께 잠이 들 때면 비추는 햇살들이 가끔씩 우린 아쉬울 거야 다른 모습들에 말을 멈추고 어색한 침묵이 올 때면 서운한 마음에 다투다 보면 오직 둘만 아는 그런 말들로 가벼운 미소가 될 거야 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 널 처음 마주한 순간 알 수 있었어 나를 보며 지었던 그 미소 그게 내 전부란 걸 Darling My darling 설레이는 내 마음을 담아 너에게 고백할게 영원토록 Darling My darling 나를 안아줘 너의 곁에서 눈을 감을 때까지 눈을 감을 때까지 눈을 감을 때까지 ,10907
김제훈,어때,2019-02-18,머릿속에 맴돌던 생각을 억누른 채 감정을 소비하며 누워서 잠이 들지 뻔한 일상 속에 맴돌다 낯선 그때를 떠올리면 이제 더는 의미 없는 추억이잖아 생각에 저 끝에 너와 내가 하나의 마음을 안고 있었는데 쌓여버린 오해와 방황에 우릴 내려놨어 바빴던 일과에 자리 잡은 내 모습에 안심하며 그렇게 잘 이겨내 왔었는데 I don’t know 그곳은 어때 너의 날씨는 참 편해 나를 채워준 너의 말들이 이제야 고마워 요즘 넌 어때 나는 반복된 시간에 어느 순간 널 발견해 하지만 한발도 내딛지 못하는 나 숨은 내 맘 속엔 밝은 네가 나도 모르게 떠오르고 있지만 다시 만남을 이어가도 이별일 걸 알기에 지쳐가는 무게가 짓누를수록 내 결심은 무너져 그렇게 잘 이겨 내왔었는데 I don’t know 그곳은 어때 너의 날씨는 참 편해 나를 채워준 너의 말들이 이제야 고마워 요즘 넌 어때 나는 반복된 시간에 어느 순간 널 발견해 하지만 한발도 내딛지 못하는 나 기억나 되감는 시간에 다시 빠져들수록 그땐 누구보다 어느 때보다 아름다운 추억인 걸 너의 하루는 어때 나를 잊은 넌 좀 편해 나를 채워준 너의 모든 게 이제야 고마워 요즘 넌 어때 나는 깨닫는 시간에 이젠 의미 없는 널 찾아 헤매 그렇게 한발도 내딛지 못하는 나 그곳에선 넌 어때 ,1130
장범준,잠이 오질 않네요,2020-10-24,당신은 날 설레게 만들어 조용한 내 마음 자꾸만 춤추게 해 얼마나 얼마나 날 떨리게 하는지 당신이 이 밤을 항상 잠 못 들게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 오오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 당신이 날 힘들게 만들어 갑자기 내 마음 자꾸만 멍들게 해 얼마나 얼마나 잠 못 들게 하는지 고요한 내 마음 항상 시끄럽게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 매일 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대여 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 ,159018
산들,취기를 빌려 (취향저격 그녀 X 산들),2020-07-20,언제부턴가 불쑥 내 습관이 돼버린 너 혹시나 이런 맘이 어쩌면 부담일까 널 주저했어 언제부턴가 점점 내 하루에 스며든 너 아침을 깨우는 네 생각에 어느샌가 거리엔 어둠이 젖어 들고 취기를 빌려 오늘 너에게 고백할 거야 하루하루 네가 좋다고 괜히 어색할까 혼자 애만 태우다 끝끝내 망설여왔던 순간 알잖아 나 무뚝뚝하고 말도 없는 걸 서툰 표현이 쑥스러워서 괜히 쓰다 지울 문자만 바라보다 멋쩍은 쓴웃음만 언제부턴가 가끔 너와 마주칠 때마다 한참을 머뭇거린 어설픈 손 인사만 오늘 밤도 후회로 잦아들고 취기를 빌려 오늘 너에게 고백할 거야 하루하루 보고 싶다고 괜히 어색할까 혼자 애만 태우다 수없이 연습해왔던 그 말 알잖아 나 무뚝뚝하고 말도 없는 걸 서툰 표현이 쑥스러워서 괜히 쓰다 지울 문자만 바라보다 멋쩍은 쓴웃음만 첫눈을 빌려 오늘은 꼭 고백할 거야 작은 너를 품에 안고서 눈을 마주하고 너무 사랑한다고 함께 하고 싶다고 ,218069
임한별,이 노래가 뭐라고,2020-11-24,이 노래가 뭐라고 그렇게 불렀을까 음정 박자 하나도 맞지 않아도 뭐가 그리 좋았을까 매일 밤 불러주던 흔한 하루가 참 그립다 이 노래가 뭐라고 널 다시 불러올까 겨우 잊어낸 지 한 일년 됐을까 넌 갔고 나만 남았어 그 자리 그 시간에 대체 어디 갔니 돌아와 줘 이 노랜 날 위해 불러주는 노래 어쩌면 한 번도 꺼내지 못했었던 사실은 아직도 사랑한단 말 이 노랜 널 위해 불러주는 노래 혹시 너도 날 못 잊었을까 봐 말도 안 되겠지만 그래 아닐 테지만 돌아와 줄래 거짓말처럼 이 노래가 뭐라고 죽도록 불렀을까 어차피 네겐 닿지도 않을 텐데 그래도 이게 다니까 이 노래뿐이니까 다시 목놓아 널 불러본다 이 노랜 날 위해 불러주는 노래 어쩌면 한 번도 꺼내지 못했었던 사실은 아직도 사랑한단 말 이 노랜 널 위해 불러주는 노래 혹시 너도 날 못 잊었을까 봐 말도 안 되겠지만 그래 아닐 테지만 돌아와 줄래 거짓말처럼 살다 보면 언젠가 만날 텐데 그땐 서로를 모른척해야만 하는 소설 같은 장면이 싫어 어떻게 살 수가 있어 나는 못해 제발 돌아와 줘 결국엔 너만의 이 노래 혹시 너도 날 못 잊었을까 봐 말도 안 되겠지만 그래 아닐 테지만 돌아와 줄래 거짓말처럼 ,11833
ODD-CAT (오드캣),달밤 (Moon & Sweet),2020-07-02,작게 흐르는 음악 볼에 닿는 바람 달밤 달밤 달달한 밤 귓가에 들리는 길모퉁이 버스킹 커피 한 잔 손에 든 채로 살짝 취한 기운 기타 소리에 실어 우리 추억 속에 날려본다 지친 하루 끝엔 언제나 네가 있어 내 맘을 달래줄 유일한 시간이야 달이 뜬 이 밤 나를 스치는 바람 참 달달한 밤이야 달밤 달밤 달달한 밤 널 데리러 가는 time 참 기다려져 MOON &amp; SWEETY NIGHT 늦은 저녁 즐겨 찾는 카페에 앉아 너를 꼭 닮은 꽃을 건네며 했던 고백 바다 내음이 가득한 발코니에서 우리 단둘이 마주 앉아 feeling so good 지친 하루 끝엔 언제나 네가 있어 너의 목소리가 나를 잠들게 하네 달이 뜬 이 밤 나를 스치는 바람 참 달달한 밤이야 달밤 달밤 달달한 밤 널 데리러 가는 time 참 기다려져 MOON &amp; SWEETY LIGHT 이 시간이 영원하기를 바래 uh 눈을 뜨면 항상 널 봤으면 해 함께하는 story 끝나지 않았으면 해 이 밤 저 달빛 아래 밝게 빛나는 달이 참 설레는 밤이야 달밤 달밤 달달한 밤 나는 멈추지 않아 이 마음을 말이야 지금 만나러 갈게 우리 둘이 함께 나를 스치는 바람 참 달달한 밤이야 달밤 달밤 달달한 밤 널 데리러 가는 time 참 기다려져 MOON &amp; SWEETY NIGHT ,698
백아연,어디라도,2020-11-18,우연의 다른 이름은 운명이란 걸 배웠죠 우리 사랑의 끝이 없는 걸 이제서야 알았죠 어디라도 난 느낄 수 있죠 겨우 한 발 멀어져 있는 거겠죠 손을 내밀면 닿을 수 있는 곳에 그대가 있겠죠 멈춘 가슴이 뛰어요 우리 처음 본 날처럼 문득 스쳐 지나는 기억에 습관처럼 웃어요 어디라도 난 느낄 수 있죠 겨우 한 발 멀어져 있는 거겠죠 손을 내밀면 닿을 수 있는 곳에 그대가 있겠죠 왜 먼저 사랑하고 이별만 알려줘서 두 볼에 눈물을 흐르게 했나요 어디라도 난 느낄 수 있죠 내게 사랑이란 한 번뿐이겠죠 혹시 내 옆에 다른 사람 있어도 사랑은 아니죠 ,1622
김제훈,Love Again,2017-02-06,언제부터였을까 따뜻한 휴식을 찾고 있을 때 찾고 있을 때 그때부터였을까 맘이 포근해진 걸 너를 봤을 때 너를 봤을 때 꿈에 그려 봤던 아름답고 멋진 곳을 향해 걸어 봐요 그대와 함께 그대와 함께 어딘가에 있을 그대 슬픔 모두 내가 다 지워 줄게 내 손을 잡고 내 손을 잡고 I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 맑은 햇살 같은 미소를 볼 때면 하루가 즐거워져 이대로 함께 그대와 함께 넓은 세상에서 우연히 만났던 그날을 기억할게 내 손을 잡고 그대 손을 붙잡고 I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 어두웠던 지난날 다시 행복을 찾아준 너에게 어떤 말로 표현할지 낯선 길을 걸어도 나란히 옆에서 있는 널 볼 때면 I Love You Everyday I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 ,980
박원,짐,2020-10-22,짐이 되어버렸어 너를 지치게 해 내가 함께 만든 꿈들도 무너지게 했어 짐이란 표현이 맞아 사랑할 때 그 책임이 너는 날 짊어지고 난 가만히 있어 점점 더 무겁고 더 버거울 거야 너에겐 이미 많은 짐이 있는데  지금까지 오는 길 못 잊을 거야  많이 무거웠지 그만 내려놔 이제 솔직한 내 마음은 너를 붙잡고 싶지만 그게 제일 쓸모없어 버려야 할 짐인데 점점 더 무겁고 더 버거울 거야 널 사랑하는 게 짐이 돼버렸어 지금까지 오는 길 너무 행복했어 많이 무거웠지 제발 나를 두고 가 내가 그리워도 한결 가벼울 거야 여기서 우리는 이만 헤어져야 해  뒤돌아보지 마 나는 울지 않잖아 너는 잘 될 거야 이제 혼자 걸어가 짐이 되어버렸어 ,10988
