가수명,노래제목,발매일,가사,좋아요수
백예린 (Yerin Baek),그럴때마다,2021-09-10,반복된 하루 사는 일에 지칠 때면 내게 말해요 항상 그대의 지쳐있는 마음에 조그만 위로 돼줄게요 요즘 유행하는 영화 보고플 땐 내게 말해요 내겐 그대의 작은 부탁조차도 조그만 행복이죠 아무런 약속도 없는 일요일 오후 늦게 잠에서 깨 이유 없이 괜히 서글퍼질 땐 그대 곁엔 세상 누구보다 그댈 이해하는 내 자신보다 그댈 먼저 생각하는 사람이 있죠 오랫동안 항상 지켜왔죠 그대 빈자리 이젠 들어와 편히 쉬어요  혼자서 밥 먹기 싫을 땐 다른 사람 찾지 말아요 내겐 그대의 짜증 섞인 투정도 조그만 기쁨이죠 아무런 약속도 없는 일요일 오후 누군가 만나서 하루 종일 거릴 걷고 싶을 땐 그대 곁엔 세상 누구보다 그댈 이해하는 내 자신보다 그댈 먼저 생각하는 사람이 있죠  오랫동안 항상 지켜왔죠 그대 빈자리 이젠 들어와 편히 쉬어요,33255
권진아,위로,2019-09-29,세상과 다른 눈으로 나를 사랑하는 세상과 다른 맘으로 나를 사랑하는 그런 그대가 나는 정말 좋다 나를 안아주려 하는 그대 그 품이 나를 잠재우고 나를 쉬게 한다 위로하려 하지 않는 그대 모습이 나에게 큰 위로였다 나의 어제에 그대가 있고 나의 오늘에 그대가 있고 나의 내일에 그대가 있다 그댄 나의 미래다 나와 걸어주려 하는 그대 모습이 나를 웃게 하고 나를 쉬게 한다 옆에 있어주려 하는 그대 모습이 나에게 큰 위로였다 나의 어제에 그대가 있고 나의 오늘에 그대가 있고 나의 내일에 그대가 있다 그댄 나의 미래다 ,6554
구원찬,너는 어떻게 (Original ver.),2018-12-26,사랑 그 단어 안에 담겨진 기억들은 다른 어떤 것보다 더 간직하게 되는 하나뿐인 그대 홀로 걷던 나의 맘을 만지고 잊혀질 수 없는 어떤 영화 같은 장면들처럼 너는 어떻게 이토록 날 웃게 하는지 굳이 말을 하지 않아도 다 알 것 같은 걸 어떤 이유도 없이 단지 그댄 내 사랑이라서 Babe I'm loving you 너는 어떻게 이런 나를 사랑하는지 내가 날 봐도 나는 참 못난 사람인데 하나뿐인 그대 그대 때문에 난 웃을 수 있고 지워질 수 없는 그런 기억들을 함께하면서 너는 어떻게 이토록 날 웃게 하는지 굳이 말을 하지않아도 다 알 것 같은 걸 어떤 이유도 없이 단지 그댄 내 사랑이라서 Babe I'm loving you 혹시나 어려운 일들이 있다면 어떤 벽이든 괜찮아 우린 넘을 테니까 언제나 내 맘은 그댈 사랑한다 말할게 서로가 하나 되는 것 사랑 어떤 이유도 없이 단지 그댄 내 사랑이라서 Babe I'm loving you ,3539
Collective Arts (콜렉티브아츠),나의 그늘,2017-07-27,나의 그늘이 좋다고 하는 너에게 무슨 말을 해야 좋을까 이 순간에도 가난한 나의 마음인데도 넌 왜 웃어 보일까 미운 말을 쏟아내 상처 주긴 쉬운데 넌 왜 아직 거기 서 있는데 해는 뜨지 않는데 내게 기댄 너는 나의 그늘이 좋대 어둠이 내리고 모두 떠나가도 가깝지 않은 곳 어디에서 너는 나의 믿음이 되어 미운 말을 쏟아내 상처 주긴 쉬운데 넌 왜 아직 거기 서 있는데 해는 뜨지 않는데 내게 기댄 너는 나의 그늘이 좋대 아 나의 그늘이 나의 그늘이 아 나의 그늘이 나의 그늘이 ,4344
첸 (CHEN),하고 싶던 말 (Sorry not sorry),2019-04-01,실은 하고 싶던 말 턱까지 차올라도 할 수 없던 말 우리 헤어져 차마 하지 못하고 더욱 날 아프게 만들어 더 이상 어떻게 시간이 해결해주리란 믿음 그 하나로 버텨왔는데 후회해 너 없이 살아볼게 힘들어도 견뎌볼게 네가 없는 하룬 참 낯설겠지만 함께라서 행복했던 시간마저 떠올리기 싫어 난 우연이라도 마주치는 일 없기를 우리 헤어져 조금 더 노력하면 내 맘 다 알아줄 거라고 미련한 기대만 시간이 해결해주지는 않아 애써 붙잡았던 날들 후회해 너 없이 살아볼게 힘들어도 견뎌볼게 네가 없는 하룬 참 낯설겠지만 함께라서 행복했던 시간마저 떠올리기 싫어 난 우연이라도 마주치는 일 없기를 우리 헤어져 처음으로 너에게 말할게 차라리 욕해도 좋아 너의 마음 이해하려 하던 이유가 더는 내게 없어 후회해 너 없이 살아볼게 힘들어도 견뎌볼게 늘 주는 것밖에 모르던 날 위해 할 수 있는 모든 것들 널 위해 내어준 마음 더 이상 미련은 없어 마주치는 일 없기를 바래 이젠 사실 하고 싶던 말 미안해 ,39723
훈스 (HOONS),내가 싫어진 거 알아,2017-02-22,사랑해 말을 해봐도 아무런 대답이 없고 시간을 함께 보내도 더 이상 웃지를 않고 내가 싫어진 거 알아 왜 내가 싫어 왜 내가 싫어 이렇게 나 버려지는 게 싫어 왜 내가 싫어 왜 내가 싫어 이렇게 나 버려지는 게 싫어 아무리 노력을 해도 너에게 우리는 없고 내가 싫어진 거 알아 왜 내가 싫어 왜 내가 싫어 이렇게 나 버려지는 게 싫어 왜 내가 싫어 왜 내가 싫어 이렇게 나 버려지는 게 싫어 ,1339
Sondia,Moonlight,2019-12-31,Moonlight 나를 감싸안아 데려다줘 그럼 너의 온기를 간직하겠어 내가 어디에 숨어있든 다시 날 찾아줘 보기좋게 비껴나온 날 너의 빛으로 비춰줘 내 모든 발자욱과 내 창문 밖에 남은 너와 나의 흔적들 내 모든 것들이 다 그대로 남아 다시 날 채우네 Moonlight 내가 힘이 들 때 찾아와줘 그럼 네 빛을 따라 걸어가겠어 내가 어디에 숨어있든 다시 날 찾아줘 보기좋게 비껴나온 날 너의 빛으로 비춰줘 내 모든 발자욱과 내 창문 밖에 남은 너와 나의 흔적들 내 모든 것들이 다 그대로 남아 다시 날 채우네 ,4461
윤현상,잊는다는 게,2015-03-13,잊는다는 게 참 그래요 사랑하다가 이별하게 되면 그때서야 못해줬던 게 생각이 나요 꼭 어제 일처럼 추억이란 게 참 그래요 분명 내 맘속엔 아직 남아있는데 지나가면 없었던 일로 해버리는 게 속 편할 때가 있겠죠 잊는다는 게 왜 이리 힘들죠 함께했었던 그 시간 때문일까요 새로운 사람을 만나서 행복해지면 되는 간단한 일인데 왜 그리 어렵죠 잊는다는 게 이별이란 게 참 그래요 지키지 못한 약속들이 전부 내게 거짓말이 돼 버린단 게 내가 이기적인 게 돼버리니까 잊는다는 게 왜 이리 힘들죠 함께했었던 그 시간 때문일까요 새로운 사람을 만나서 행복해지면 되는 간단한 일인데 왜 그리 어렵죠 잊는다는 게 지금 생각나는 모든 것들이 어쩌면 다시는 또 오지 못할 기억에 묻힌 날들 행복했었던 날들 이젠 잊어야겠지 모두 잊어야겠지 가끔 생각이 날 때가 있겠죠 그댈 만나서 그 동안 행복했어요 새로운 사람을 만나도 그댄 잊지 말아요 이제는 끝인 게 왜 그리 어렵죠 왜 그리 힘들죠 잊는다는 게 ,29999
아이유,밤편지,2017-03-24,이 밤 그날의 반딧불을 당신의 창 가까이 보낼게요 음 사랑한다는 말이에요 나 우리의 첫 입맞춤을 떠올려 그럼 언제든 눈을 감고 음 가장 먼 곳으로 가요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 늘 그리워 그리워 여기 내 마음속에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말이에요 어떻게 나에게 그대란 행운이 온 걸까 지금 우리 함께 있다면 아 얼마나 좋을까요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 또 그리워 더 그리워 나의 일기장 안에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말 이 밤 그날의 반딧불을 당신의 창 가까이 띄울게요 음 좋은 꿈 이길 바라요 ,445569
곽진언,택시를 타고,2016-05-10,날이 참 좋길래 아무거나 걸쳐 입고 밖에 나와서 택시를 타고 아무데나 가달라고 했어 어디로 가든지 어디로 가든지 너를 다 두고 오려고 너를 다 두고 오려고 빠르게 지나가는 창밖의 풍경처럼 우리도 사라진다면 얼마나 좋을까 택시를 타고 아무데나 가달라고 했어 널 두고 오려고 널 두고 오려고 빠르게 지나가는 창밖의 풍경처럼 우리도 사라진다면 얼마나 좋을까 택시를 타고 아무 데나 가달라고 했어 널 두고 오려고 널 두고 오려고 날이 참 좋길래 아무거나 걸쳐 입고 밖에 나와서 ,6794
