가수명,노래제목,발매일,가사,좋아요수
어반자카파,아직도 나를 사랑한다면,2016-05-27,노래를 불러요 우릴 헤어지게 만든 그 노래를 이 일만 끝나면 더 잘할 수 있다고 그댈 괴롭히던 그 노래를 불안한 우리가 더 좋은 얘길 만들어 주겠죠 이런 거 싫지만 그댈 더 원하지만 결국 만들었네요 이 노래를 아직도 나를 사랑한다면 혹시 아직 나를 기다리면 전활 걸어줘요 아직도 나를 사랑한다면 혹시 아직 나를 기다리면 아직도 나를 사랑한다면 혹시 아직 나를 기다리면 전활 걸어줘요 아직도 나를 사랑한다면 혹시 아직 나를 기다리면 ,7655
수지,I Love You Boy,2017-10-11,그댈 보기 위해 먼 길을 건너왔네요 힘든 길인걸 알면서도 그저 걸었죠 I fly for you 눈감아도 보이지 않던 내 맘에 니가 다가와 Because i love you boy 내 곁으로 다가와요 Because i need you boy 꿈에서도 그리운걸 Remember i love you boy 다신 볼 수 없다 해도 Because i love you boy Because i love you boy 사랑해요 사랑해요 너와 함께한 기억들이 바람에 날려 지친 내 맘에 내려앉아 나를 웃게 해 안개 속을 헤메이던 전하지 못한 내 맘이 네게 다가가 Because i love you boy 내 곁으로 다가와요 Because i need you boy 꿈에서도 그리운걸 내 차가운 맘을 움직였던 가슴을 울게 했던 그 사람이 그댄걸요 정말 잊으려고 해도 지워내려 해도 내 사랑은 그대죠 I fly for you Because i love you boy 내 곁으로 다가와요 Because i need you boy 꿈에서도 그리운걸 Remember i love you boy 다신 볼 수 없다 해도 Because i love you boy Because i love you boy 사랑해요 사랑해요 ,33264
박새별,사랑이 우릴 다시 만나게 한다면,2013-05-28,사랑이 우릴 다시 만나게 해준다면 나 그대에게 해주고 싶은 말이 너무 많아요 그댈 보내고 내가 얼마나 많은 밤들을 혼자 그리워하는지 그댄 그댄 모르죠 사랑이 우릴 다시 만나게 해준다면 나 그땐 좀 더 온전히 그대를 사랑할게요 어렸었던 우리 지난 날 엇갈림 속에 수많은 차가운 말들로 서롤 얼마나 아프게 했는지 혹시 날 사랑하나요 혹시 날 미워하고 있나요 내게 말해줘요 더 이상 난 아무런 의미 없을까 겁이 나요 사랑이 우릴 다시 만나게 해준다면 긴 시간 너머 언젠가 그대 보일 때까지 내가 기다릴게요 아직까지 선명히 기억나는 풍경 하나 내 머릴 쓰다듬던 익숙한 손길 이별을 말하던 그대 혹시 날 사랑하나요 혹시 날 미워하고 있나요 나 없는 하루가 그댄 아무렇지 않나요 잘 지내지 말아요 어디에 있나요 그대 지금도 난 이렇게 그대가 보고 싶은데 혹시 날 사랑하긴 했나요 혹시 그대도 날 사랑한다면 내가 기다릴게요 언젠가 그대 내게 다시 돌아올 수 있다면 사랑이 우릴 다시 만나게 한다면 ,12564
폴킴,사랑 알 수 없나봐,2018-12-16,사랑 알 수 없나 봐 어떤 마음인지 자꾸 의심하게 돼 청개구리처럼 반대로 하게 되는 게 영리한 건지 어리석은 건지 나 할 수 없나 봐 풀어보려 할수록 더 엉켜버리는 머리론 알겠는데 내 마음은 그게 잘 안돼 그게 잘 안돼 널 보낼 수가 없어 내게 짓던 네 웃음 나를 잡았던 손길 아직 선명해 나 후회해 그땐 왜 그랬는지 눈을 감아도 네 모습 사라지지를 않아 지우고 싶지 않아 정말 미안해 오 미안해 내가 잘못했어 돌아와 사랑 알 수 없나 봐 나를 다독이는 너의 손길 때문에 떠나려 하잖아 아무 말 하지 마 무섭단 말야 아무 말 하지 마 아직 널 보낼 수가 없어 투덜대던 네 입술 눈으로 나눈 사랑 아직 선명해 나 후회해 그땐 왜 그랬는지 하루 온종일 네 모습 사라지지를 않아 지우고 싶지 않아 정말 미안해 오 미안해 내가 잘못했어 돌아와 혹시 돌아올지도 몰라 그래 분명히 너도 내가 그리울 거야 사랑하지만 헤어질 수 있다는 그 거짓말 아직 지키지 못한 약속 내겐 너무 많은데 다 해줄 수 있는데 다시 만나면 꼭 말할게 우리 함께하자 영원히 ,41914
길구봉구,"다시, 우리",2018-05-24,뚜루루 온종일 비가 내렸지 눅눅히 젖은 신발을 보다가 엉겨 붙어버린 기억의 먼지 한 줌이 빗물에 씻겨지질 않네 아무리 우산을 써봐도 내 맘은 젖어만 가 다시 널 불러 사랑했던 그때로 가슴이 아파 넌 들을 수도 없잖아 너 다시 돌아오라고 네가 보고 싶다고 노래해 내게로 와 다시 우리 다시 푸르른 하늘이 오랜만이라 널려있었던 옷을 주워담다가 오 너의 흔적들이 아직도 여기저기에 온기로 남아 있었구나 빨래를 돌려 바래버린 때를 지운들 그때가 지워질까 다시 널 불러 사랑했던 그때로 가슴이 아파 넌 들을 수도 없잖아 너 다시 돌아오라고 네가 보고 싶다고 노래해 내게로 와 다시 우리 다시 그대 두고 간 베갠 젖어 있고 네 칫솔은 내 맘처럼 말라가 하나씩 버리고 흔적을 지워 봐도 내 맘은 너를 쳐낼 수가 없는걸 시간을 돌려 사랑했던 그때로 가슴이 아파 너 다시 돌아오라고 네가 보고 싶다고 노래해 내게로 와 너를 기다려 네가 그리워 돌아와 ,33582
소유 (SOYOU),길에서 (Feat. 적재),2019-12-23,하루 종일 비가 와서 니 얼굴이 또 생각 나 눈물이 났어 한 걸음 더 걸어가면 잊혀질까 봐 비를 맞으며 서 있었어 차갑게 젖어 버린 내 가슴 안에서 아직도 아직도 널 부르잖아 이 길에서 널 만날 수 있다면 그 날처럼 널 보내지 않을 거야 눈물이 멈춘대도 너를 지울 수는 없을 것 같아 너 올까봐 어느새 그친 빗줄기에 니 모습도 사라졌어 보이지 않아 한번만 더 한번만 더 보고 싶어서 마른 하늘에 널 그렸어 차갑게 식어 버린 내 목소리 마저 아직도 이렇게 널 부르잖아 이 길에서 널 만날 수 있다면 그 날처럼 널 보내지 않을 거야 눈물이 멈춘대도 너를 지울 수는 없을 것 같아 니가 다시 올까봐 기다릴게 나 여기 서 있을게 늦기 전에 지금 내게 돌아와줘 이 길에서 널 만날 수 있다면 그 날처럼 널 보내지 않을 거야 눈물이 멈춘대도 너를 지울 수는 없을 것 같아 꼭 돌아와 날 안아줘 ,5946
T.P RETRO (타디스 프로젝트舊),오늘도 그대만 (Feat. 정동원),2017-02-28,봄날처럼 몰래 다가왔던 나의 그대 여름 같이 뜨거웠던 우리의 시간들 어느덧 찾아온 시린 겨울 혹시 그대 아프진 않을까 걱정돼요 그대에게 부족한 나라서 나 그렇게 그댈 붙잡지 못했죠 소리 없이 울먹이던 그대 그만하자는 그 말 다 거짓말이죠 오지 않는 전화를 붙잡고 후회만 하는 참 바보 같은 나 그땐 뭐가 그렇게 어려웠던 건지 조용히 그대 마음 안아줄 걸 우연처럼 다시 와줘요 내 품에 머물던 그대 온기 남았는데 그댈 사랑한 만큼 하루하루 겨우 버텨봐도 너무 아파 매일 그대 생각에 살아요 빗방울이 떨어지던 그 밤 우산처럼 기울던 그대와 나는 하염없이 눈물만 흘렸죠 돌아온다는 그 말 다 거짓말이죠 오지 않는 전화를 붙잡고 후회만 하고 있는 참 바보 같은 내가 그댈 사랑한 만큼 하루하루 겨우 버텨봐도 너무 아파 매일 그대 생각에 살아요 오늘도 술에 취해 그댈 부르고 후회만 하고 있는 참 이기적인 내가 우리 사랑한 만큼 지우기엔 너무 아픈 그대 이름 매일 그대 생각에 울어요 다시 내게 와줘요 ,101735
박효신,별 시 (別 時),2018-04-30,You are my star 이 노래는 너야 불빛 하나 없는 길을 걷게 해 줄 기나긴 밤 쓰다 만 이 노래의 의미를 찾고 있어 나 여기서 두 팔 벌려 힘껏 달려와 내게 입 맞추던 그 눈빛을 그 사랑을 기다리고 있어 나였다면 언젠가 돌아본 그곳에 너를 바라보던 그 하늘이 나였다면 다시 나의 별이 되어줘 주머니 속 내 손을 꼭 잡고 형편없는 나의 말에 웃어주던 그리운 밤 아무 일 없는 듯이 전화를 걸고 있어 나 여기서 두 팔 벌려 힘껏 달려와 내게 입 맞추던 그 눈빛을 그 사랑을 기다리고 있어 나였다면 언젠가 돌아본 그곳에 너를 바라보던 그 하늘이 나였다면 내가 너의 밤이 돼 줄게 어느 멋진 날 너에게 줄 노래 ,61064
장나라,그게 정말이니?,2003-12-03,후회는 없을거라고 그만큼 사랑했다고지금 흔들리는 목소리로이별을 얘기하는거니사랑한 순간이야 그래 나도 기억하니까니 말대로 후회는 없을꺼야잊을순 없겠지만그게 정말이니 너 돌아서는모습이 정말 마지막이니아무말 없이 너를 보내고 난 뒤에후회하면 어떡하니어쩌면 너의 말처럼 조금씩 잊혀진대도아직까지는 나 단 하루도 너 없인 안되는데그게 정말이니 너 돌아서는모습이 정말 마지막이니아무말 없이 너를 보내고 난 뒤에 후회하면 어떡하니지금이라도 널 품에 안고괜찮아 하면 돌아올꺼니지나간 날에 이쁜추억 하나로이렇게 너 남는거니이렇게 멀어져 가는 그대그저 힘없이 바라볼 뿐소리쳐 불러봐도 잡을수 없기에이건 안 된다고 가지 말라고제발 내곁에 있어 달라고마음속으로 너를 한없이 불러도아무 소용 없겠지만자꾸 돌아보며 머뭇거리는저 멀리 니 모습 때문에너로 인해서 행복했던 나란걸지금에야 알게 됐어 이렇게,9600
이진성 (먼데이 키즈),Letter,2009-02-12,텅 빈 방안에 앉아 너의 사진을 본다 해맑았던 미소가 날 붙잡아 발이 떨어지질 않아 못난 나의 자존심땜에 많이 다퉜었지만 항상 내 걱정만 했던 너라서 이젠 내 맘이 아프다 못해준게 너무나 많아서 사랑한단 한마딜 못해서 아픈 가슴 꼭 잡고 너를 소리쳐 부른다 미안하다 많이 보고싶구나 혼자 남겨졌단 사실에 너무 슬펐었지만 이젠 너를 위해 기도를 할께 부디 아프지 않기를 못해준게 너무나 많아서 사랑한다 한마딜 못해서 아픈 가슴 꼭 잡고 너를 소리쳐 부른다 미안하다 많이 보고싶구나 혹시 나를 보고 있다면 지금이라도 내 얘길 들어줄 수 있다면 홀로 남겨뒀다 미안해 말아 그 맘 다 알아 나 기억할테니 괜찮아 함께여서 참 행복했는데 둘이라서 정말 좋았었는데 눈부시게 빛나던 우리 추억을 삼킨다 고마웠다 나의 친구여 안녕,9966
