가수명,노래제목,발매일,가사,좋아요수
선우정아,남,2018-03-20,누구도 잘못한 건 없어모르겠어 우린 최선을 다 했어발버둥 쳐 사랑하기 위해 but사실은 다 알고 있었지 no no눈물도 소용없어요우리는 여기까지야이별이 이렇게 쉽네요돌아서는 그 순간남사라지는 우리라는 말사라지는 우리라는 말사라지는 우리란 말사라지는 우리지워지는 우리현실은 동화를 질투해절대 쉽게 우릴 가만두지 않아버틸 만큼 버틴 것 같은데세상의 끝 한 걸음 앞에우리를 기다리네눈물도 소용없어요우리는 여기까지야이별이 이렇게 쉽네요돌아서는 그 순간남사라지는 우리라는 말아득한 네 체온 아득한 입맞춤너는 꿈처럼 가네 기억 속으로 숨네눈물도 소용없어요우리는 여기까지야사라지는 우리라는 말사라지는 우리란 말사라지는 우리지워지는 우리,20416
로시 (Rothy),다 핀 꽃,2019-01-30,다 핀 어느 이름 모를 꽃 한송이의떠나기 전의 끝모습처럼하필 모든 것이 너무 눈부셨던 날우리 얘기도 끝나버렸어오후를 막 지난 저녁이자주 깜박이는 저 별이다 그날부터 너를 닮아 슬퍼 보였어맨 처음 너를 만나 잠못이룬그많은 나의 밤들과널 알아가면서 더 눈부시게피었던 모든 아침들널 좋아했던 만큼 아파야만 하는게이별이래도아마도난 또 사랑일걸너를 다시 한번 보게 된 다면다 쓴 누가 버리고 간 침대를 보며그 안에 담긴 꿈을 세 본다때로는 간절한 기다림때로는 뜻모를 서러움꼭 남겨졌던 나같아서 눈물이 났어맨 처음 너를 만나잠못이룬 그많은 나의 밤들과널 알아가면서 더 눈부시게 피었던모든 아침들널 좋아했던 만큼 아파야만 하는게이별이래도아마도 난 또 사랑일걸너를 다시 한번 보게 된 다면아픈 기억은 다 지울래나는 겁을 먹긴 싫은데자꾸 움츠린 채 걷기 싫은데겨울이 가고 봄이 오고 그런 것처럼또 아프게 나 피어난다면난 태어나서 처음 해를 보는 것처럼미소 지을래자 이쯤에서 우리 서로에게아픔이 되지는 말자사랑을 물어보면 자랑할 만큼이던우리였으니지우려 애를 쓰는 이별이마지막은 되기 싫어서울어보고 또 웃어보는나의 하루는 또 그렇게 간다우리 사랑이 간다,30531
아이유,개여울,2017-09-22,당신은 무슨 일로 그리합니까 홀로이 개여울에 주저앉아서 파릇한 풀 포기가 돋아 나오고 잔물이 봄바람에 헤적일 때에 가도 아주 가지는 않노라시던 그런 약속이 있었겠지요 날마다 개여울에 나와 앉아서 하염없이 무엇을 생각합니다 가도 아주 가지는 않노라심은 굳이 잊지 말라는 부탁인지요 가도 아주 가지는 않노라시던 그런 약속이 있었겠지요 날마다 개여울에 나와 앉아서 하염없이 무엇을 생각합니다 가도 아주 가지는 않노라심은 굳이 잊지 말라는 부탁인지요당신은 무슨 일로 그리합니까,43323
김나영,마음 (Prod. by MAKTUB),2016-10-18,잠깐의 긴 꿈처럼 어제의 바람처럼 어느새 또 찾아온 너의 기억 사랑만으로는 부족한 진심만으로도 안되는 어쩔 수 없는 너와 나 견딜 수 없을 만큼 그리움에 지쳐도 그저 침묵만으로 난 나를 지키네 어떤 이유로도 모자란 간절히 원해도 안되는 닿을 수 없는 너와 나 눈을 감아도 귀를 막아도 마음은 결국 너에게 가는걸 어쩌면 이별은 생각이 낳나봐 마음은 절대 이별을 만들지 못해 스치는 계절처럼 찰나의 인연처럼 언젠간 너도 그렇게 지나갈까 기다릴 수도 잡을 수도 체념할 수도 없는 거처를 잃은 너와 나 눈을 감아도 귀를 막아도 마음은 결국 너에게 가는걸 어쩌면 이별은 생각이 낳나봐 마음은 절대 이별을 만들지 못해 사랑하고 울고 웃던 날들이 꿈결같던 추억이 가슴에 남아 이렇게 흩어지지 않아서 미련을 닮은 욕심은 널 오늘도 내려놓지 못해 눈을 감아도 귀를 막아도 내 맘은 니가 느껴지는데 어쩌면 시간은 모든걸 지울 순 없나봐 마음은 아직 그날에 있나봐 마음은 아직 그길을 걷나봐 마음은,6694
벤,Love Recipe,2018-03-23,늦은 일요일 잠에서 깨고여느 때처럼 세수를 하죠 머릴 묶죠텅 빈 방 안에 우연 한 스푼눈물 세 스푼 사랑이 되죠 시작이죠나 나나나나 나나나나사랑해요 미안해요 많이 보고 싶어요누구나 사랑하고 이별하는 사이좀 우린 다를 거라 늘 농담처럼 넘겼죠주인공이 전혀 다른 얘기 영화 같은 얘기늘 농담처럼 넘겼죠 몰랐어요 나일지나 나 나일지 나나 나나 사랑해요 미안해요 아직 보고 싶어요그대도 모르게 사랑 한 스푼눈물 세 스푼 이별이죠 시작이죠늘 습관처럼 말해줬던사랑해요 미안해요말이 가고 없어요누구나 사랑하고 이별하는 사이좀 우린 다를 거라 늘 농담처럼 느꼈죠주인공이 전혀 다른 얘기 영화 같은 얘기늘 농담처럼 넘겼죠 몰랐어요 나 일지사랑만은 조금 넣어 둘 걸이별을 준비할걸난 농담처럼 넘겼죠몰랐어요 나일지나 나나나나 나나나나사랑해요 미안해요 많이 보고 싶어요,5162
김나영,그럴 리가,2015-03-27,사실은 나 다 지운 줄 알았어한참 동안 니 생각이 안 나서우연히 나 친구에게 들었어니가 다른 사랑을 시작했단 말 분명 괜찮았는데잊었다 생각했는데거짓말처럼 갑자기 눈물이 나그럴 리가 그럴 리가혹시 바보처럼나 너에게 뭘 기대한 거니아닐 거야 그럴 리 없다고이제 그만 해지겹도록 아팠잖아그만 하자 내 마음아괜찮냐는 내 친구의 그 말에난 아닌 척고개 들어 웃어보지만그렇게 돌아서서난 또 아파야 했어헤어진 날처럼또 다시 눈물이 나그럴 리가 그럴 리가 혹시 바보처럼나 너에게 뭘 기대한 거니아닐 거야 그럴 리 없다고이제 그만 해 지겹도록 아팠잖아끝난 줄 알면서도아직도 사랑한 거니그런 거니 그러면 안되잖아그만 아파해야 해그만 사랑해야 해안되나 봐 안되나 봐괜찮을 거라고 믿었는데아직 아닌가 봐다 거짓말 다 거짓말사실은 나 아직 못 한 말이 있어아직도 난 널 사랑해,15950
김나영,가슴이 말해,2016-07-08,나를 기억하나요나를 알아보나요이렇게 또 마주하네요흔들리는 눈빛이 떨리는 내 입술이또 그댈 찾네요한걸음 뒤에또 그렇게 뒤에서 그때처럼 날 안아줘  가슴이 말해 너를 기억해 내 맘 뛰게 하는 단 한 사람가슴 시리도록 아픈 사랑눈물이 말해 사랑해 그대 부르고 또 불러 봐도그리운 내 사랑바람이 차갑네요 그래도 괜찮아요 그대만 내 곁에 있다면 바보 같은 사랑도 괜찮아요 이렇게 그댈 볼 수만 있다면  지금도 우리늘 그렇게 뒤에서 잊지 못해 울잖아요 가슴이 말해 너를 기억해 내 맘 뛰게 하는 단 한 사람가슴 시리도록 아픈 사랑눈물이 말해 사랑해 그대 부르고 또 불러봐도그리운 내 사랑아직도 내게는그대만 보여요이렇게 그대영원히 그대그때처럼 날 안아줘 가슴이 말해 너를 기억해 내가 그대라면 좋을텐데 그 아픔도 다 가져갈텐데 눈물이 말해 사랑해 그대 부르고 또 불러봐도그리운 내 사랑,25786
HYNN (박혜원),시든 꽃에 물을 주듯,2019-03-31,아무말도 아무것도여전히 넌 여기 없고널 원하고 널 원해도 난 외롭고꽃이 피고 진 그 자리끝을 몰랐었던 맘이깨질 것만 같던 그때 우리 음시든 꽃에 물을 주듯싫은 표정조차 없는결국엔 부서진 여기 우리 음다 잊었니 말없이 다 잊었니사랑한단 말로 날 가둬둔 채로넌 잊었니 난 잊지 못하나봐바보처럼 기다려 난 오늘도어쩌다 이렇게 됐지너무 예뻤잖아 둘이매일 설레였지 그때 우린 음시든 꽃에 물을 주듯싫은 표정조차 없는결국엔 부서진 여기 우리다 잊었니 말없이 다 잊었니사랑한단 말로 날 가둬둔 채로넌 잊었니 난 잊지 못하나봐바보처럼 기다린바보처럼 빈 자릴 붙잡는 나차라리 다 끝났다고 말해줘이기적인 그 침묵에 또 나만바보처럼 미련한내가 미워아무말도 아무것도여전히 넌 여기 없고널 원하고 널 원해도 난 지쳐가,204751
백아연,마음아 미안해,2018-11-21,마음아 미안해 또 아프게 하네나 왜 그랬을까 고작 그런 사람에게너를 연 걸까바보라 날 욕해 늘 이런 식이네이럴 줄 몰랐어 헤픈너로 만들어 버리고 말았어넌 하루 종일 우는데 걘 웃고 있잖아넌 이렇게 버거운데 걘 잘 지내니까마음아 미안해 제발 그만해아파하는 일그래 봤자 몰라주니까마음아 미안해 꼭꼭 잠궈 둘게상처받지 않게 다신 너를함부로 꺼내지 않을래 날 믿어줘넌 하루 종일 우는데 걘 웃고 있잖아넌 이렇게 버거운데 걘 잘 지내니까마음아 미안해 제발 그만해아파하는 일그래 봤자 몰라주니까시간이 지나면 웃을 순 있겠지하지만 기억은 또 괴롭히겠지꼭 벌받았으면 나만큼 아파 봤으면아무리 후회해도 어쩔 수 없잖아어차피 그럴 일이 그렇게 됐나 봐마음아 미안해 제발 그만해미워하는 일그럴 가치도 없어그러기엔 아까워 미안마음아 정말 미안해,10458
안예은,Re-feet,2018-07-12,우리 함께 사랑했던 날들 어떻게 발 밑 낙엽처럼 바스라트릴 수 있나요우리 같이 행복했던 날들 어떻게 꽃이 지듯 마음에서 사라질 수 있나요다시 생각할 수 없나요 다시 돌이킬 수 없나요 아직 아닌데 나는 아무 준비도 하지 못했는데돌아올 수 없나요 다시 되돌릴 수 없나요우리 추억들도 함께한 시간들도우리 함께 사랑했던 날들 어떻게 비에 씻겨 내려가듯 쉽게 잊을 수 있나요우리 같이 행복했던 날들 어떻게 눈이 녹듯 마음에서 사라질 수 있나요다시 생각할 수 없나요 다시 돌이킬 수 없나요 아직 아닌데 나는 아무 준비도 하지 못했는데돌아올 수 없나요 다시 되돌릴 수 없나요행복했던 순간들 가슴 떨리던 날도아무것도 아닌가요 우리 지난 날들그렇게 쉽게 잊혀지는 것이었나요다시 생각할 수 없나요다시 생각할 수 없나요 다시 돌이킬 수 없나요 아직 아닌데 나는 아무 준비도 하지 못했는데돌아올 수 없나요 다시 되돌릴 수 없나요우리 추억들도 함께한 시간들도다시 생각할 수 없나요돌아올 수 없나요다시 생각할 수 없나요,1483
