가수명,노래제목,발매일,가사,좋아요수,앨범사진,songId,순위
다비치,기억해 줘요,2022-05-24, 어느 하루의 햇살처럼 따뜻한 봄이 내게 오듯 그대 나에게 온 그날이 생각나 그때가 문득 생각나 슬퍼서 아파서 미워서 그리워서 그 언젠가 꿈속에 그대 찾아와 줄 건가요 여전히 그대를 기다리는 슬픈 나를 기억해 줘요 계절을 따라 지나가듯 오늘도 나는 이곳에서 오늘 하루도 그댈 생각하면서 글썽이는 날 알까요 슬퍼서 아파서 미워서 그리워서 그 언젠가 꿈속에 그대 찾아와 줄 건가요 여전히 그대를 기다리는 슬픈 나를 기억해 줘 추억이 참 많아서 더욱 그리운 걸까 그대 이름을 혼자 되뇌어본다 바람이 불어와 눈물을 마르게 해 내 마음이 닿을 때까지 멈추지 않겠지만 언젠가 우리가 다시 만날 그날 위해 기다릴게요  ,1037,https://cdnimg.melon.co.kr/cm2/album/images/109/66/032/10966032_20220524171026_500.jpg?5742e825b56f80e74de5c826a1b97aea/melon/resize/282/quality/80/optimize,35207591,1001
김돈규,나만의 슬픔,1996-10-30, 내 소식 그녀가 들을때 쯤엔 난 아마 세상 어디에도 없겠지 친구야 내게 허락된 시간이 이젠 다 되어가나봐 알리진 말아줘 차라리 그녀가 모르게 아무런 슬픔도 남기기 싫어 연락이 닿아도 올수가 없을거야 이제는 다른 세상에서 그녀를 만나서 내 얘기를 묻거든 그저 난 잘있다고 대답해줘 이제야 알겠어 그녀가 내게는 얼마나 소중했는지 가슴이 메어와 - 간 주 중 - 나 훗날 재되면 그녀가 다니는 길목에 아무도 모르게 흩어놓아줘 가끔씩 오가는 그 모습만이라도 그 길에 남아 볼수 있게 그녀를 만나서 내 얘기를 묻거든 그저 난 잘있다고 대답해줘 이제야 알겠어 그녀가 내게는 얼마나 소중했는지 - 간 주 중 - 약속해줘 나없는 세상에 남겨진 그녀를 나대신 지켜준다고 그녀를 부탁해  ,18332,https://cdnimg.melon.co.kr/cm/album/images/000/03/581/3581_500.jpg/melon/resize/282/quality/80/optimize,69343,1002
박창근,다시 사랑한다면,2021-12-17, 그대와 나의 사랑은 너무나 강렬하고도 애절했으며 그리고 위험했다 그것은 마치 서로에게 다가설수록 상처를 입히는 선인장과도 같은 다시 태어난다면 다시 사랑한다면 그때는 우리 이러지 말아요 조금 덜 만나고 조금 덜 기대하며 많은 약속 않기로 해요 다시 이별이 와도 서로 큰 아픔 없이 돌아설 수 있을 만큼 버려도 되는 가벼운 추억만 서로의 가슴에 만들기로 해요 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져온다는 걸 그대여 빌게요 다음번에 사랑은 우리 같지 않길 부디 아픔이 없이 많은 시간이 흘러 서로 잊고 지내도 지난날을 회상하며 그때도 이건 사랑이었다고 말할 수 있다면 그걸로 된 거죠 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져온다는 걸 그대여 빌게요 다음번에 사랑은 우리 같지 않길 부디 내 아픔이 없이 이젠 알아요 영원할 줄 알았던 그대와의 사랑마저 날 속였다는 게 그보다 슬픈 건 나 없이 그대가 행복하게 지낼 먼 훗날의 모습 아아아아아아 아아 내 마음을 하늘만 알기를 라라라라라라 라아아아아아 라아아아아아 라라라라라라 나나나나나나 나나 내 마음은 흐음  ,5304,https://cdnimg.melon.co.kr/cm2/album/images/108/15/970/10815970_20211216180849_500.jpg?3b5e1f2541bc9144b47d00bd1d98954e/melon/resize/282/quality/80/optimize,34425697,1003
정창룡,익숙함에 속아 소중함을 몰랐다 (Feat. 이지용),2020-06-30, 있을 때 잘해 네가 내게 가끔 했던 말 그땐 그냥 웃으면서 넘겼던 그 말 시간이 흘러 네가 나를 떠난 후에야 눈물로 변해버렸던 그 말 이제 와서 후회한다고 달라질 건 없는데 왜 이렇게 가슴이 찢어질까 익숙함과 편안함에 속아 함부로 대하고 나만 바라보던 네 모습에 소중함을 몰랐다 그런 내 모습에 너는 지쳐 나를 떠나가고 이제 와 후회돼 눈물만 흘렸다 처음에는 바라만 봐도 정말 좋았었는데 혼자 변해가는 내모습들이 익숙함과 편안함에 속아 함부로 대하고 나만 바라보던 네 모습에 소중함을 몰랐다 그런 내 모습에 너는 지쳐 나를 떠나가고 이제 와 후회돼 눈물만 흘렸다 그땐 왜 몰랐을까 그땐 왜 몰랐을까 그 이쁜 얼굴에 눈물이 흘러도 그때 너에게 했던 그 모진 말들이 평생의 그리움이 돼버렸어 익숙함과 편안함에 속아 함부로 대하고 나만 바라보던 네 모습에 소중함을 몰랐다 그런 내 모습에 너는 지쳐 나를 떠나가고 이제 와 후회돼 눈물만 흘렸다 너와 헤어지던 그날 밤에 참 많이 울었어 그깟 자존심이 모라고 널 아프게 했었다 미안하다는 그 한마디를 전하지 못해서 아직 내 가슴이 널 잊지 못한다 이제 와 말한다 정말 미안했다  ,9142,https://cdnimg.melon.co.kr/cm2/album/images/104/52/251/10452251_20200629142454_500.jpg?c820341f3e9afe30dfb118a3891c8f07/melon/resize/282/quality/80/optimize,32724536,1004
이승기,하기 힘든 말,2006-02-03, 우리 헤어지지만 다신 너를 볼 수 없지만 마지막으로 부탁 하나 할께 눈물 맺힌 너에게 나 할 수 있는 건 편하게 너를 보내주는 일 나와 닮은 너에게 나완 다른 그에게 조금은 어색하고 하기 힘든 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 오래 전에 알았어 나 아닌 사람이 니 맘을 모두 가져버린 걸 나와 닮은 너에게 나완 다른 그에게 아무리 애를 써도 하기 싫은 말 사랑한 기억도 고마운 기억도 모두 잊길 바래 내 눈물까지 아파하지 말고 돌아보지 말고 이제 행복하게만 살아줘 미안해 하진마 후회하진 마 나보다 그가 훨씬 더 잘해줄꺼야 그의 품에 안겨서 까맣게 나를 잊고서 늘 웃고 사는게 날 위한 이별이니까 괜찮아질꺼야 익숙해질꺼야 혼자하는 사랑 힘이 들어도 떠나가는 너를 돌아서는 너를 몰래 내 가슴속에 두면 돼  ,16688,https://cdnimg.melon.co.kr/cm/album/images/003/13/335/313335_500.jpg/melon/resize/282/quality/80/optimize,1099594,1005
임한별,사랑 이딴 거,2019-01-22, 털썩 주저 앉아버렸어 아무 준비 없이 만난 소나기 예고 없이 찾아오는 겨울 감기처럼 그렇게 다가온 우리 이별 좋았었는데 우리 모든 순간들 특별하진 않아도 행복했던 소박했던 추억 뭘 먹을까 고르는 너의 집중하던 두 눈 그런 사소한 네 모습 아직 내 눈엔 선명한데 너는 나빴어 끝까지 못됐어 네 맘 떠난 것도 모른 채 나만 사랑했잖아 안돼 나 이대론 못해 그냥 못 보내 말도 안돼 잠깐 우리 힘든 거잖아 끝내 널 잡았다면 놓지 않았다면 다시 첨으로 되돌아갔을까 난 사랑 이딴 게 뭐라고 하루 종일 날 보채고 있어 너의 눈빛도 어색했던 미소도 눈치채지 못했던 내가 미워 사실 매일 밤 나 꿈에서 너를 만나 똑같은 하루를 보내 늘 그래왔던 것처럼 눈 뜨면 너 혹시 돌아올까 너는 나빴어 끝까지 못됐어 네 맘 떠난 것도 모른 채 나만 사랑했잖아 안돼 나 이대론 못해 그냥 못 보내 말도 안돼 잠깐 우리 힘든 거잖아 얼마나 아파해야 몇 밤이 지나야 다시 올 거니 아무렇지 않게 사랑 이딴 게 뭐라고 아무것도 난 못하고 믿어지지 않아 아니 난 믿고 싶지 않아 우리 함께한 약속들 어떡하라고 다시 돌아와 혼자서 뱉는 말 내가 놓은 거야 그런 거야 정말 끝이 난 거야 그 때 남김없이 널 아낌없이 널 사랑할걸 나만 아파해도 되니까 잊혀질 때까지만 내 미련 없을 만큼만 널 불러볼게 아무도 모르게 오늘도 잘 참아냈어 그렇게 너를 보냈어  ,34978,https://cdnimg.melon.co.kr/cm/album/images/102/44/754/10244754_500.jpg?debbc5ec66e8ffa456dc7c5bc4853773/melon/resize/282/quality/80/optimize,31573334,1006
씨야,사랑하기 때문에 (Feat. SG워너비),2006-02-22, 사랑이 떠났어 이제는 다시 볼 수 없겠지 처음 해본 사랑도 아닌데 많이 아프다 사랑이 떠나갔어 그대가 떠나갔어 나 혼자 남겨둔채 어디를 떠나갔어 이렇게 홀로 내버려두고 추억만 남기고 너 때문에 아무것도 할 수가 없는데 난 상처는 두렵지 않아 널 볼 수 없다는게 나는 더 두려워 니가 너무 그리워 그런 날 알잖아 내게 다시 돌아와 너 없이는 살 수 없어 니가 다시 돌아와 니가 날 떠난 날부터 사랑이 멈춘 날부터 기다림이 버릇이 됐어 눈물 흘릴 줄 아는데 나도 아플 줄 아는데 오늘도 이렇게 애써 웃나봐 사랑은 이별앞에서 약해지고 이별은 사랑에게 잔인해지나봐 널 잊는 것도 이별이 남겨준 내가 참아야 할 몫인가봐 가슴에 묻어둔 추억만 세어도 입술에 차오른 이름만 불러봐도 눈물이 나서 너무 그리워서 살아갈 자신 없나봐 사랑은 이별앞에서 약해지고 이별은 사랑에게 잔인해지나봐 널 잊는 것도 이별이 남겨준 내가 참아야 할 몫인가봐 가슴에 묻어둔 추억만 새어도 입술에 차오른 이름만 불러봐도 눈물이 나서 너무 그리워서 살아갈 자신 없나봐 지우고 지워도 널 잊지 못해서 버리고 버려도 가슴에 남아서 세상에 사랑할 한 사람 있다면 아파도 살아갈 이유 하나 있다면 바로 너라고 대답하고 싶어 내가 사는 이유니까 사랑하니까  ,11531,https://cdnimg.melon.co.kr/cm/album/images/003/14/286/314286_500.jpg/melon/resize/282/quality/80/optimize,1119896,1007
송지은,미친거니 (Feat. 방용국),2011-03-03, 사랑이 아냐 이건 사랑이 아냐 너의 집착일 뿐이야 어디 있든지 내가 무얼 하든지 무서워 나를 바라보는 넌 너의 그림자를 따라 밟다 난 전화를 걸어 네 떨리는 숨소리에 짜릿해져버려 빨라지는 네 발걸음 따라 뛰는 내 심장 미칠 것만 같아 어두워지는 긴 밤 너의 집 앞 불 꺼진 가로등 밑에서 너를 본다 네 방 창 문 틈에서 밤이 끝날 때까지 날 찾아봐 어서 나와 숨 막히는 숨바꼭질을 계속해 넌 넌 넌 넌 절대 내게서 떨어질 수 없어 미친거니 왜 그러니 이제 그만 나 좀 내버려둬 네가 보여 숨이 막혀 내 눈 앞에서 좀 사라져줘 넌 날 절대 벗어날 수 없어 넌 날 사랑 할 수밖에 없어 도망쳐봐 네가 어디에 있든지 난 볼 수 있으니 널 알지 깊숙이 넌 날 절대 벗어날 수 없어 넌 날 사랑 할 수밖에 없어 이제 날 봐 I Don't Wanna Cry No More more 사라져 버려 그만 좀 꺼져 버려 정말 숨도 못 쉬겠어 어딜 가든지 내가 어디 있든지 무서워 나를 따라오는 너 수백 번이고 수만 번이고 전화를 걸었는데 왜 왜 넌 대답이 없어 잊었니 우리 만난 지 벌써 천일이 됐어 네가 좋아하는 선물을 준비했어 네가 자주 가는 거리에 앉아 널 기다리고 있어 내 사랑을 알아 집착이라 말하지 마 사랑을 몰라 넌 미쳤다고 말하지 마 내 맘을 몰라 넌 넌 넌 넌 넌 절대 내게서 떨어질 수 없어 미친거니 왜 그러니 이제 그만 나 좀 내버려둬 네가 보여 숨이 막혀 내 눈 앞에서 좀 사라져줘 너도 날 원하잖아 나를 사랑하잖아 나를 도망치지 마 헛소리 좀 집어 치워 정신 차려 그만 좀 해 이제 나를 놓아줘 이건 아냐 사랑이 아니야 내게 상처뿐이야 이러지마 널 사랑 했지만 이제는 아니야 너의 기억에서 날 잊어줘 I Don't Wanna Cry No More More  ,31739,https://cdnimg.melon.co.kr/cm/album/images/011/90/551/1190551_500.jpg/melon/resize/282/quality/80/optimize,3164048,1008
잔나비,처음 만날때처럼,2019-01-25, 졸린 눈을 비비며 꼬깃해진 너의 편지를 읽었어 마냥 즐거웠던 내 맘은 한 순간 무거워졌어 안녕이란 글자 위에 떨어진 눈물 자국 보았어 마냥 웃음 짓던 내 얼굴은 한 순간 어두워졌어 왜 그리 갑자기 떠난다 했어 왜 그리 쉽게 안녕이라 했어 제발 꿈이었으면 그냥 너의 장난이었으면 좋아 이제까지 만남도 너무나 아쉬워 안녕은 그리 쉬운 게 아냐 우리가 처음 만날 때처럼 말야 왜 그리 갑자기 떠난다 했어 왜 그리 쉽게 안녕이라 했어 제발 꿈이었으면 그냥 너의 장난이었으면 좋아 이제까지 만남도 너무나 아쉬워 안녕은 그리 쉬운 게 아냐 우리가 처음 만날 때처럼 말야 안녕은 그리 쉬운 게 아냐 우리가 처음 만날 때처럼 말야  ,37808,https://cdnimg.melon.co.kr/cm/album/images/102/46/137/10246137_500.jpg?2517025096dc1da80b9c54310873feeb/melon/resize/282/quality/80/optimize,31582380,1009
샘김 (Sam Kim),향기,2019-06-28, No Way 니가 발을 딛는 곳마다 내가 있을 거라고 나는 말했지 그림자가 지는 곳에 너의 마음이 가라앉기도 전에 나는 말을 건네지 우리 그냥 아무것도 하지 말자 우리 그래 아무것도 하지 말자 니가 바라던 내가 바랬던 도시의 밤은 독해 내가 마셨던 오늘의 술은 또 너의 머릿결을 통해 나쁜 꿈은 꾸지않게 너의 머릴 감싸줄게 다른 생각나지 않게 너의 몸을 감싸줄게 방 안에서 누워 창문을 열어놓고 니 향기에 젖은 채로 잠이 들고파 마침 바람이 시원하게 불어오고 너의 귓가에 아름다운 선율이 스쳐 너와의 아침은 소음마저 아름다울 거야 풍경이 바뀌고 난 식탁에 앉아 꿈을 꿀 거야 이대로 그냥 다시 밤이 오길 나는 원해 넌 그대로 좋은 날이기에 다시 한번 내게 더 안겨주길 바래 널 어떤 말로 담을 수 있을까 내 맘은 너무 깊어 너의 마음 안에 차오를 수 있을까 난 너로 인해 살아가라며 너의 맘을 안을게 넌 미소 짓고 말하네 나도 너와 같은 마음인걸 방 안에서 누워 창문을 열어놓고 니 향기에 젖은 채로 잠이 들고파 마침 바람이 시원하게 불어오고 너의 귓가에 아름다운 선율이 스쳐 나는 너의 노래가 되어 언제든지 너의 귓가에 잠에 들기 전까지 남아있을 거야 나는 너의 노래가 되어 언제든지 너의 귓가에 잠에 들기 전까지 방 안에서 누워 창문을 열어놓고 니 향기에 젖은 채로 잠이 들고파 마침 바람이 시원하게 불어오고 너의 귓가에 아름다운 선율이 스쳐  ,48271,https://cdnimg.melon.co.kr/cm/album/images/103/01/090/10301090_500.jpg?40156e50f532287b074120cd1771158f/melon/resize/282/quality/80/optimize,31889629,1010
