가사,감정
잠시 길을 잃었어 어디로 가야 하는지 정말 알 수가 없어 난 늘 너란 길만 걸었으니까 오 낮엔 괜찮아 바쁘게 지낼 수 있어 밤이 오면 다시 길을 잃어 울고 울다 새벽이 되잖아 모두 사라졌어 my hope love sweet dreams 워 어떡해 워 잘해주지 말지 왜 그랬어 이제 막다른 길 워  보내기 싫어 네 눈을 쳐다봤지 너 너무 미안해 하니깐 도리어 내가 더 미안해 버렸어 오 날 안아주던 네 품이 참 좋았어 그리 쉽게 떠나갈 거면서 왜 널 좋아하게 만든 거야 모두 사라졌어 my hope love sweet dreams 워 어떡해 워 마음 열지 말걸 후회가 돼 이젠 막다른 길 워  난 아이인가봐 그저 온종일 울기만 하잖아 네가 없인 무엇도 못해 어리광 부리며 헤맬뿐야  잠시 길을 잃은 거야 my hope love sweet dreams  다시 길을 찾을 꺼야 my hope love sweet dreams  잠시 길을 잃은 거야 my hope love sweet dreams  다시 길을 찾을 꺼야 my hope love sweet dreams  ,happy
 내 심장이 내 사랑이  멈출 것 같아도 나 지금 아파 열이나  숨도 못 쉬어 멍든 가슴은 니 이름만 외쳐 I Can't Believe That It's Over 너라는 여자 남에게는 못 줘 내 사랑은 단 하루도 못 쉬어 내 가슴은 너 없이는 못 뛰어 너 없이는 뭘 할 수 있겠어 I Can't Believe that it's over I can't never let you go That you why you  got to know 지쳐 쓰러질 때까지 나  사랑을 원하고 이젠 제발 날 사랑해줘 하나뿐인 Girl Friend  Let's begin 다시 시작해 Till the end 사랑해 세월이 지나도 널 사랑해 세상이 변한대도 다른 누구도 널 대신 할 수 없어 너도 알고 있잖아 내 사랑은 단 하루도 못 쉬어 너 없이 난 한 순간도 못살아 니가 있어야만 난 숨을 쉬어 영원히 언제까지나 사랑해 Please 내 사랑은 Emergency 돌아와 Give me one more  chance to me 우린 떼어낼 수 없는 Man to be Please 내 사랑은 Emergency 돌아와 Give me one more  chance to me 우린 떼어낼 수 없는 Man to be 제발 나만 선택해 Make it Hot 우리 사랑이 불타 버리게 너를 못 보는 것보다 차라리 담배를 끊는 게 편해 이젠 제발 날 사랑해줘 하나뿐인 Girl Friend  Let's begin 다시 시작해 Till the end 널 사랑해 세월이 지나도 널 사랑해 세상이 변한대도 다른 누구도 널 대신 할 수 없어 너도 알고 있잖아 내 사랑은 단 하루도 못 쉬어 너 없이 난 한 순간도 못살아 니가 있어야만 난 숨을 쉬어 영원히 언제까지나 사랑해 심장이 멈출 것 같아도 심장이 멈출 것 같아도 내 사랑 너와 나 이대로 내 사랑 너와 나 이대로 고마워 날 사랑해 줘서 고마워 날 웃게 해줘서 내 심장이 내 사랑이  멈출 것 같아도 나의 눈이 아닌 내  가슴으로 하는 말 언제까지나 널 사랑해 십 년이 지나도 그대 밤을 비추는 저 별처럼 다시 한번 태어나더라도 그렇게 난 그대만을 사랑해 Back Back I want it back 힘이 될 사랑을 지켜줘 You you you got to know 너만을 위해 I need your Love Back Back I want it back 힘이 될 사랑을 지켜줘 You you you got to know 너만을 위해 I need your Love 사랑해  ,happy
 기억해 복도에서 떠들다 같이  혼나던 우리 둘 벌서면서도 왜 그리도 즐거웠는지  알았어 그날 이후로 Yeah Yeah 우린 늘 Yeah Yeah 쌍둥이 별자리처럼 넌 나 나는 너였어 졸업하기 전날 많이 울던 너  남자라고 꾹 참던 너 하고 싶었던 말 못하고 뜨거웠던 그 여름처럼 안녕 친구라는 이름 어느새 미워진 이름 감추던 감정은 지금도 아픈 비밀의 기억일 뿐 우리 사인 정리할 수 없는 사진  보면 가슴 아린 Story I'm sorry  여름아 이젠 Goodbye Yay Yeah What do I say We didn't  have to play no games I should've took that chance I  should've asked for u to stay And it gets me down the unsaid  words that still remain 시작하지도 않고 끝나버린 이야기 축제 마지막 날 너의 노래도  아른한 여름 바다도 함께라서 소중했던 맘 늦어가는 밤  하늘처럼 안녕 친구라는 이름 어느새 미워진 이름 감추던 감정은 지금도 아픈 비밀의 기억일 뿐 우리 사인 정리할 수 없는 사진 보면 가슴 아린 Story I'm sorry 여름아 이젠 Goodbye Baby Oh No Oh Oh 혼잣말이라서 미안해 Oh 사실은 널 사랑해 Yeah 숨기고 있던 오랜 비밀들 차라리 들켰다면 너를 품에 안아줄텐데 친구라는 이름 어느새 미워진 이름 감추던 감정은 지금도 아픈 비밀의 기억일 뿐 우리 사인 정리할 수 없는 사진 보면 가슴 아린 Story I'm sorry 여름아 이젠 Goodbye 친구라는 이름 어느새 미워진 이름 보면 가슴 아린 Story I'm sorry 여름아 이젠 Goodbye Yay Yeah 랄랄랄랄라 랄랄랄랄라랄랄 랄랄랄랄라 랄랄랄랄랄라  ,happy
In this moment I see you It always comes around As I believed When the rain stops You shine on me Your light’s the only thing that keeps the cold out Moon in the summer night Whispering of the stars They’re singing like Christmas trees for us So I’ll tell you A Million tiny things that You have never known It all gets tangled up inside And I’ll tell you A Million little reasons I’m falling for your eyes I just want to be where you are It’s such a strange thing to do Sometimes I don’t understand you But It always brings me back To where you are 혹시 아니 너에겐 나만 아는 모습이 있어 한여름밤 오는 첫눈같이 믿기지 않는 기적 같은 놀라운 순간 넌 언젠가 또 불어온 바람에 마음이 날아다녀도 기다릴게 So I’ll tell you A Million tiny things that You have never known It all gets tangled up inside And I’ll tell you A Million little reasons I’m falling for your eyes I just want to be where you are Tell you A Million tiny things that You have never known It all gets tangled up inside Tell you A Million little reasons I’m falling for your eyes I just want to be where you are ,happy
 함께였었던 너 지금 어느 별에 있니 난 아직도 이별에 있어 흩어져가는 하늘에 나를 태워 보면 볼 수 있을까 너 있는 곳에 혹시 너도 나를 찾고서 있는지 마치 시간이 멈춘 듯이 너를 기다리고만 있어 oh you’re my star oh you’re my star in the sky 너의 밤하늘 속에 내가 있다면 그 수 많은 별들 중에 한 점이라도 채워지면 그걸로 좋아 이별이 된대도 함께였었던 너 지금 어느 별에 있니 난 아직도 이별에 있어 환하게 웃어주던 니 마지막 모습이 그리워 꿈에서 라도 만날까 너를 품에 안고 잠들어 oh you’re my star oh you’re my star in the sky 너의 밤하늘 속에 내가 있다면 그 수 많은 별들 중에 한 점이라도 채워지면 그걸로 좋아 이별이 된대도 너를 잊지 않을게 oh you’re my star oh you’re my star in the sky 너의 밤하늘에도 내가 있다면 그 수 많은 별들 중에 한 점이라도 채워지면 그걸로 좋아 이별이 된대도  ,happy
 I love you I love you I love you I love you I love you I love you 그대의 작은 목소린 무엇보다 내게 큰 힘이 돼죠 세상을 등지고 싶을때 그대의 작은 어깨에 기댈때면 난 다시 꿈을 꾸죠 희망이란 놈을 찾죠 내 두 눈에 항상 그댈 담고 싶네요 사랑해 i love u 푸른 하늘 보다 더 넓은 바다 보다 더 그댈 사랑 할 수 있는 나에요 i love u 세상 어떤 말도 부족하지만 그대에게 전하고 싶은 말 그대를 사랑할께요 영원히 지켜줄께요 처음과 같은 맘을 매일 선물할께요 한 여름날에 눈이 내릴때까지 나의 사랑 변하지는 않아요 평생 행복을 안겨줄 소중한 사람이에요 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속해줘요 항상 같은 자리에 나와 함께 하기를 알고있나요 그대 때문에 사랑하는 법을 배웠어요 우는것조차 모르던 내가 당신이 아파 할때면 눈물이 나요 아프지 마요 언제나 웃어요 약속할께요 그대만을 사랑해요 My Lover Lover 너무 감동되죠 I love u 거친 파도가 와도 먹구름 밀려와도 내 사랑은 그대와 함께하죠 I love u 어두운 밤에 그대 길 잃어도 내 사랑이 환하게 비추죠 그대를 사랑할게요 영원히 지켜줄게요 처음과 같은 맘을 매일 선물 할께요 한 여름날에 눈이 내릴때까지 나의 사랑 변하지는 않아요 평생 행복을 안겨줄 소중한 사람이에요 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속해줘요 항상 같은 자리에 나와 함께 하기를 나나나나나 나나 나나나나나 나나 나나나나나 그댈 사랑해요 서쪽 하늘에 해가 뜨는날까지 그대만을 사랑하고 싶어요 내 행복을 다 잃어도 세상 눈물 다 가져도 지금 꼭 잡은 두 손 다시는 놓치지 마요 약속할께요 세상 누구 보다 더 그댈 사랑할께요 I love you I love you I love you I love you I love you I love you   ,happy
When the autumn leaves change colors And the warmth of my spring has gone All the memories left in summer Of you come one by one I know I’ve tried I’ve tried To letting go of the past Now it’s time to go I’ll say goodbye And leave behind All my tears All the pain and bitterness inside The lonely days The cracks we’ve made The fabricated lies I gave my all away To you For you For you I’ll say goodbye to you Finally the days are warmer And my sighs no longer show in the air I remember now your laugh when I’d say I loved ya oh Cuz I know I’ve tried I’ve tried To hold onto little we had But now it’s time to let go I’ve said goodbye I’ve left behind All my tears All the pain and bitterness inside The lies we’d say To try and save what’s left of both our pride I gave my all away To you For you For you Just one last time I’ll say I fell too many times I’ve tried so many times for you For you For you I see your smile Oh your smile It kills me just the same The sunny days The nights we made From paper cranes and roses I know not to fall But fall fall away I’ll do for you For you I’ll fall Fall away ,happy
 입을 맞춰도 불안하고 품에 안아도 초조하고 잠이 들때도 꿈처럼 사라질까 밤새 뒤척이고 보면 볼수록 겁이나고 겁이 날수록 더 보고싶고 사랑할수록 니가 날 떠날까봐 두려워지나봐 사랑을 다줘도 불안한건 남자야 넌 너무 모르지 남자의 사랑을 사랑할수록 더 보고싶고 보면 볼수록 더 안달나고 평생 내 여자로 만들고픈 조급한 마음인걸 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해 하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you Say I love you 사랑할수록 닮아가고 날이 갈수록 더 좋아져 함께 할수록 난 너없인 못살아 너 책임져 사랑을 다줘도 불안한건 남자야 넌 너무 모르지 남자의 사랑을 사랑할수록 더 보고싶고 보면 볼수록 더 안달나고 평생 내 여자로 만들고픈 조급한 마음인걸 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해 하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you 약속해줘 You are the only my love 한 여자만을 사랑하니까 내겐 그 여잔 너 하나니까 자꾸만 니 사랑을 보채도 날 미워하지는 마 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해 하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you Say I love you Say I love you   ,happy
" 멀어져만 가는 그대 You’re the only one 내가 사랑했던 것만큼 You’re the only one 아프고 아프지만 바보 같지만 Good bye 다시 널 못 본다 해도 You’re the only one Only One 어색하게 마주앉아 사소한 얘기로 안부를 묻고 가끔 대화가 끊기는 순간에는 차가운 정적 우릴 얼게 만들어 지금 이 자리에서 우리는 남이 되겠지 어느 누군가는 눈물 흘리며 남겠지만 상처주지 않으려고 자꾸 애를 써가면서 눈치 보는 니 모습 싫어 So I’ll let you go 내사랑 이제는 안녕 You’re the only one You’re the only one 이별하는 이순간에도 You’re the only one 아프고 아프지만 바보 같지만 Good bye 다시 널 못 본다 해도 You’re the only one Only One You’re the only one, Only One 갑작스런 나의 말에 왠지 모르게 넌 안심한듯해 어디서부터 우린 이렇게 잘못된 걸까 오래 전부터 다른 곳만 기대한 건 아닌지 너무 다른 시작과 끝의 그 날카로움이 내 심장을 찌르는 아픔은 왜 똑같은지 벅찬 가슴이 한 순간에 공허하게 무너져서 이런 내 모습 어떻게 일어설까 내사랑 이제는 안녕 You’re the only one Only One 이별하는 이순간에도 You’re the only one 아프고 아프지만 바보 같지만 Good bye Good bye 다시 널 못 본다 해도 You’re the only one You’re the only one 내 머릿속은 언제쯤 너를 지울까 I will let you go 하루 이틀 한달 멀게는 아마 몇 년쯤 My baby can't forget 그리고 언젠가 너의 기억 속에는 나란 사람은 더 이상 살지 않겠지 지우겠지 Only One Only One You’re the only one Only One  ",happy
 나도 한때는 그이의 손을 잡고 내가 온 세상 주인공이 된 듯 꽃송이의 꽃잎 하나하나까지 모두 날 위해 피어났지 올림픽대로 뚝섬 유원지 서촌 골목골목 예쁜 식당 나를 휘청거리게 만든 주옥같은 대사들 다시 누군가 사랑할 수 있을까 예쁘다는 말 들을 수 있을까 하루 단 하루만 기회가 온다면 죽을힘을 다해 빛나리 언제부턴가 급격하게 단조로 바뀌던 배경음악 조명이 꺼진 세트장에 혼자 남겨진 나는 단역을 맡은 그냥 평범한 여자 꽃도 하늘도 한강도 거짓말 나의 드라마는 또 이렇게 끝나 나왔는지조차 모르게 끝났는지조차 모르게 ,happy
