가수명,노래제목,발매일,가사,좋아요수,순위
토이,세 사람 (With 성시경),2014-11-18,많은 사람들 분주한 인사우리 모두 모인 게 얼마 만인 건지하얀 드레스멋있어진 녀석정말 잘 어울려오랜 내 친구들 축하해기억나는지 우리 처음 만난 날새로운 꿈 시작된 3월의 캠퍼스어쩌면 그때 나는 알았나 봐너 때문에 웃고 울게 될 나를스무살그 시절우리 여름날의 멜로디가슴속에 늘 숨 쉬는 풍경 하나내 친구 처음 소개하던 날뭔가 달라 보이던 너의 표정넌 시작이었나 봐둘만의 비밀이닮아있는 말투가친구라는 슬픈 말이날 멈추게 만들어말할 수 없는 나의 고백용길 낼 수 없던 수많은 날너의 연인은 내 오랜 친구축복의 노래 꽃잎 흩날리면눈부신 너의 모습 얼마나 예쁠까매일 연습했던 말 이젠 안녕스무살그 시절우리 여름날의 멜로디아직 우릴 지켜준 나만의 약속술 취해 혼자 비틀대던 밤우리 셋 우정 지켜내잔 약속내겐 사랑이었음을둘만의 비밀이닮아있는 말투가친구라는 슬픈 말이날 멈추게 만들어말할 수 없는 나의 고백용길 낼 수 없던 수많은 날너의 연인은 내 오랜 친구너에게 하고 싶은 말 넘쳐흐르는데너만 보면 내 맘 춤을 추는데모르는 사이 베어버린 상처가널 보면 자꾸 아파저 문이 열린다 그녀가 들어온다난 고개를 들 수 없어이렇게 좋은 날에웃을 수밖에 없는 사람언제나 날 반기는 두 사람남겨진 나의 사랑오 나의 청춘이 멀어진다두 손 꼭 잡은 채로그토록 원했던 오늘을내 소중한 그녀의 내일을나의 오랜 친구여 부탁해,113622,501
첸 (CHEN),너를 위해,2016-08-25,다른 공간의 다른 시간이지만 내 사랑이 맞을거야 바람에 스치는 너의 향기로도 난 너인걸 알수 있어but i don`t know 내 맘속에 언제부터 니가 산건지i don`t know 너를 보면 설레는 이유 나를 스쳐 지나가도 돼 니가 날 다 잊었으니까 니가 기억할 때까지 나는 너를 기다릴테니까그대여 나를 바라봐줘요 여전히 그대도 나를 사랑하나요그대여 내눈을 보고 얘기해줘요 사랑하는 맘은 숨겨지지 않아요너에겐 내가 곁에 있었단 사실을 절대로 잊지는 마 널 위해 모든걸 바칠 수 있었던내 마음을 지우지마but i don`t know 내맘속에 언제부터 니가 산건지i don`t know너를 보면 설레는 이유나를 스쳐 지나가도 돼니가 날 다 잊었으니까 니가 기억할 때까지 나는 너를 기다릴테니까같은 공간 같은 시간 함께 있잖아 언제라도 내 곁에 와 너의 자리로With you 너를 위해서그대여 나를 바라봐줘요 여전히 그대도 나를 사랑하나요,145852,502
리쌍,"TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm)",2011-08-25,널 너무나 사랑해서 난 티비를 껐어 새빨간 니 입술 널 너무나 사랑해서 난 커텐을 쳤어 새빨간 니 입술 널 너무나 사랑해서 난 티비를 껐어 새빨간 니 입술 널 너무나 사랑해서 난 커텐을 쳤어 새빨간 니 입술  내 눈엔 그 어떤 선보다 아름다운 너의 몸매 검은 머리 너만의 향기에 나는 녹네 때론 몰래 응큼한 상상을해 그러다 욕심이 솟네 티비를 보다가도 거리를 걷다가도 시도때도 없이 난 너를 원해 못참아 어떻게 손만잡아 딱딱하게 말하지마 네가 날 딱딱하게 만들었잖아 널 너무 사랑해 내 모든 걸 다 주고 니 모든 걸 다 갖고싶어 더 가까이 널 안고싶어 내 몸을 적시고 엉덩이 토닥토닥 하고싶어  이 밤이 새도록 보여주고 싶어 어제와 또 다른 내 모습에 눈물까지 흘릴꺼야 이 밤이 새도록 보여주고 싶어 넌 너무 사랑스러워 언제나 나를 설레게 만들어 baby  널 너무나 사랑해서 난 티비를 껐어 새빨간 니 입술 널 너무나 사랑해서 난 커텐을 쳤어 새빨간 니 입술  더운데 갑자기 커텐을 왜 쳐 잘 보고 있는 티비는 또 왜꺼 그런 눈으로 왜 또 분위기 잡아 피곤해 피곤해 그냥 난 잘래 니 품에서 꿈꾸고 싶어 밤새 그만 좀 보채 오늘만 날이 아니잖아 좀 참아 착하지 내 남자 그냥 코 자자 삐지지말고 내 손을 잡아 어린애처럼 왜 또 등을 돌려  못말려 너란 남자 정말 웃겨 생각해볼게 어서 가서 불꺼  이대론 잠 못자요 넌 너무 아름다워 난 오늘 이 밤을 보내기엔 아쉬워요 오늘은 안된단 말 마요 그만 그만 그만  널 너무나 사랑해서 난 티비를 껐어 새빨간 니 입술 널 너무나 사랑해서 난 커텐을 쳤어 새빨간 니 입술 널 너무나 사랑해서 난 티비를 껐어 새빨간 니 입술 널 너무나 사랑해서 난 커텐을 쳤어 새빨간 니 입술  나를 설레게 만들어,64287,503
임창정,오랜만이야,2009-03-10,참 오랜만이란 말로웃으며 인사 하는 너처음 널 만날 때처럼내 가슴이 철없이 또 뛰어꼭 행복 하라는 말로울면서 보내줬는데그 말이 무색 할 만큼너 왜 이렇게 많이 야위었어무슨 일 있었던 거니세상을 다 줄 것 같은 그 사람과오래오래 잘 사는게 행복 하는게그렇게 힘이 들었니붙잡을걸 그랬나봐내가 더 사랑한다 말할걸가진게 너무 없어 줄게 너무 없어안되는 줄 알았어기다릴걸 그랬나봐네가 돌아올 줄 알았다면혼자가 아닌 나라 널 잡을 수 없어바보 같지만 미안해나 다시 널 보낼게좀 일찍오지 그랬어너땜에 힘들었는데죽을 것 같았던 나를그녀가 겨우 구해줬는데나 왜 이렇게 못됐니네 작은 어깨를 꼭 안고 싶어져자꾸만 후회 되는게 미치겠는게아프게 너를 또 원해붙잡을걸 그랬나봐내가 더 사랑한다 말할걸가진게 너무 없어 줄게 너무 없어안되는 줄 알았어기다릴껄 그랬나봐네가 돌아올 줄 알았다면혼자가 아닌 나라 널 잡을 수 없어바보 같지만 미안해나 다시 널 보낼게몰라볼걸 그랬나봐널 닮은 사람이지 그랬어내 앞에 있는 너를 애써웃는 너를안아줄 수도 없는데스쳐갈걸 그랬나봐고갤 돌리지 말걸 그랬어멀어져가는 너를 난 잡을수 없어다시 한번 더 부탁해나 보다 더 행복해,66887,504
유해준,나에게 그대만이,2009-11-02,더이상 나에게다른 사랑은 없다는 걸이제 나는 알아요나에게 사랑은항상 하나 뿐 이었다고나의 사랑은그대 단 한 사람나에겐 오직 한 사람세상 누구보다 내게소중한 사람널 사랑해널 사랑해이 말 너에게만 하고싶어니가 없이 난살 수 없어서사랑 하나로만살아가는 나에게내 마지막 그 날 까지사랑으로 남아주길 바래그대만이오늘이 지나면다시 볼 수 없을 것 같아그대 울지 말아요시간이 지나서우리 하나되는 그 날에나와 함께 할 그대단 한 사람나에겐 오직 한 사람세상 누구보다 내게소중한 사람널 사랑해널 사랑해이 말 너에게만 하고싶어니가 없이 난살 수 없어서사랑 하나로만살아가는 나에게내 마지막 그 날 까지사랑으로 남아주길 바래그대만이소중한 너를 위해서내게 남아있는 미련모두 버려도내 사랑은내 사랑은아직 너 하나만원하는데영원히 너를지켜 준 다는약속 하나로만살아가는 나에게내 사랑은단 한 사람다시 태어나도그대만을사랑할께,44360,505
송하예,사랑했던 우리가 어떻게 친구가 되니,2021-10-23,넌 잘 지냈니오랜만야 익숙한 네 목소리넌 아무렇지도 않게 내게 인사해꽤 시간이 흘러서 넌 편해졌나봐나만 널 잊지를 못했나봐남 얘기하듯이 그때 그랬지 하며내가 좋아했었던 그 웃음 지으면어떡해사랑했던 우리가 어떻게 친구가 되니너는 행복했는지 잊었나봐내맘 흔들지 말고내가 좋아한 웃음 짓지말고그냥 지나가난 너와는 달라우리가 어떻게 친구가 되니다른 사람 생겼냐고 내가 물었을땐이미 넌 대답을 했던것 같아남 얘기하듯이 그때 그랬지 하며날 사랑할때의 그 눈빛 으로 날 보면어떡해사랑했던 우리가 어떻게 친구가 되니너는 행복했는지 잊었나봐내맘 흔들지 말고내가 좋아한 웃음 짓지말고그냥 지나가난 너와는 달라우리 헤어지던 날까지 싸웠었지만좋았던 기억이 많아서이렇게 널 그리워 하나봐난 힘들어 편하게널 대할 자신이 없어우린 미치도록 사랑했잖아내가 좋아한 웃음 지으며내맘 흔들지 말고가끔 이라도 전화 하지마난 안돼 친구가난 너와는 달라우리가 어떻게 친구가 되니,12694,506
정재욱,잘가요,2001-11-20,미안해마요 이제야 난 깨달아요 내 절대 그대 짝이 아님을 괜찮을게요 영혼 밖에 팔것 없는 못난 날 잘 비켜갔어요 그대 행복 내가 꼭 아니라도 지킨다면 그게 사랑일 테죠 그게 나의 몫이죠 잘가요 내 소중한 사람 행복했어요 그래도 이것만 알아줘요 지금 그 사랑보다 결코 내 사랑이 부족하다거나 얕지 않음을잊어도 돼요 나를 만난 시간들은 잠깐의 연극이라 여김을 잘한거예요 아무리 난 노력해도 작은 희망도 없잖아요아주 멀리 멀리 뛰어가세요 어떡해요 자꾸 잘못한 일만 떠오르는걸잘가요 내 소중한 사람 행복했어요그래도 이것만 알아줘요 지금 그 사랑보다 결코 내 사랑이 부족하다거나 얕지 않음을어긋난 인연이 남겨놓은 사랑이란 날카로운 슬픔이군요잘가요 내 사랑아 고마웠어요 그래도 이것만 알아줘요 지금 그 사랑보다 결코 내 사랑이 부족하다거나 얕지 않음을부족하다거나 얕지 않음을,31453,507
SG 워너비,넌 좋은 사람,2021-07-16,평생 살아가다 수 많은 인연그 중에 너를 만난 건어떤 말로도 어떤 표현도전할 수 없어 난가만히 널 바라보면서너의 손을 잡고서우리가 함께한 시간들로너를 위한 노래할게바라만봐도 넌 좋은 사람행복해서 눈물 나는 사람너는 나에게 전부가 되고선물같은 하루를 주고괜히 울컥해지는눈물나는 날에는언제나 내 곁에 기대어넌 편히 쉬면 돼때론 아플때마다날 안아준 너로 인해 버텨냈어별 볼 일 없던 하루가 왠지특별해지니까나의 품에서 오래오래마음껏 사랑받길한없이 너에게 주고 싶어너를 안아주고 싶어 MY LOVE바라만봐도 넌 좋은 사람행복해서 눈물 나는 사람너는 나에게 전부가 되고선물같은 하루를 주고괜히 울컥해지는눈물나는 날에는언제나 내 곁에 기대어넌 편히 쉬면 돼오랜 시간이 지나내 옆에 미소 띤 한사람너라면 좋겠어나에겐 첫 사람 너이니까 약속해I wanna love with you everydayI`ll be there for you별처럼 빛나는 그런 사람나를 빛나게 만드는 사람사랑 그대로의 사랑으로너를 영원히 지켜줄게세상에 소리쳐너를 사랑한다는 그말너라서 고마워나에게 선물 같은 사람내 곁에서 날 믿어주는 넌 좋은 사람,34263,508
신용재 (2F),사계 (四季),2022-06-08,따스한 온기가 더 외롭게 한 봄내리쬔 햇살에 더 고된 여름긴 하루 지친 계절지켜준 단 한 사람멀어진 하늘 걱정 많던 그 가을얼어버린 창가 맘 시린 겨울비바람 거친 파도안아준 그대란 사람때로는 이 길이 더 서글퍼져도하나만 기억해 이젠 내가그대의 모든 계절을 안아줄게함께라면 무엇도 상관없어온 세상이 우릴 막아선대도모든 사람이 등을 돌린대도어떤 계절이건 다 두렵지 않아한여름 사막을 걸어도피할 곳 하나 없는 눈보라도그대와 함께라면소란한 세상 속 맘 닫힐 때면 하나만 기억해 이젠 내가그대의 모든 계절을 안아줄게함께라면 무엇도 상관없어온 세상이 우릴 막아선대도모든 사람이 등을 돌린대도어떤 계절이건 다 두렵지 않아한여름 사막을 걸어도피할 곳 하나 없는 눈보라도그대와 나 함께라면너의 손 꼭 잡을게 내 사랑을니가 느낄 수 있도록그대의 모든 계절을 함께할게그댄 그대로 충분해내 사랑에 그대와 쉴 수 있게봄 여름 가을 겨울그대 곁에,3472,509
이승철,잊었니,2012-02-17,잊었니 날 잊어버렸니그 수많은 추억들은 잊어 버렸니가슴은 널 향해 팔 벌려오늘도 간신히 버티고 있는데추억이 점점  빛 바래 가면너와 거닐던 길에 우두커니 서 지우고 또 지우려 해도니숨결 목소리가 귓가에 들려잊었니 날 잊어 버렸니 아직 난 널 기다리잖아사랑이 또 울고 있잖아  가슴엔 늘 눈물이 고여지워도 자꾸 지우려 해도그대 얼굴이 자꾸 떠오르네요잊었니 날 잊어버렸니수많은 추억들은 잊어 버렸니가슴은 널 향해 팔 벌려오늘도 간신히 버티고 있는데잊었니 날 잊어 버렸니 아직난 널 기다리잖아사랑이 또 울고 있잖아  가슴엔 늘 눈물이 고여잊었니 날 잊어 버렸니 아직난 널 기다리잖아사랑이 또 울고 있잖아  가슴엔 늘 눈물이 고여지워도 자꾸 지우려 해도그대 얼굴이 자꾸 떠오르네요지워도 자꾸 지우려 해도그대 얼굴이 자꾸 떠오르네요그대 얼굴이 자꾸 떠오르네요,32082,510
