가수명,노래제목,발매일,가사,좋아요수,감정
양다일,Darling,2020-11-23,Oh darling 처음 널 만나면 수줍은 대화들로 사랑에 빠질 거야 My darling 아마도 우린 손을 마주 잡고서 도시를 거닐 거야 비라도 오면 골목 어귀에 발을 멈추고서 바라보다가 입을 맞출지도 몰라 어둠이 오면 밝게 빛나는 별빛들 아래서 음악에 취해 서로에게 기대어 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 Oh darling 잊지 못할 거야 서로를 품에 안고 온기를 느끼던 날 My darling 따스할 거야 함께 잠이 들 때면 비추는 햇살들이 가끔씩 우린 아쉬울 거야 다른 모습들에 말을 멈추고 어색한 침묵이 올 때면 서운한 마음에 다투다 보면 오직 둘만 아는 그런 말들로 가벼운 미소가 될 거야 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 널 처음 마주한 순간 알 수 있었어 나를 보며 지었던 그 미소 그게 내 전부란 걸 Darling My darling 설레이는 내 마음을 담아 너에게 고백할게 영원토록 Darling My darling 나를 안아줘 너의 곁에서 눈을 감을 때까지 눈을 감을 때까지 눈을 감을 때까지 ,10907,happy
포맨 (4MEN),Say I Love You,2010-08-26, 입을 맞춰도 불안하고 품에 안아도 초조하고 잠이 들때도 꿈처럼 사라질까 밤새 뒤척이고 보면 볼수록 겁이나고 겁이 날수록 더 보고싶고 사랑할수록 니가 날 떠날까봐 두려워지나봐 사랑을 다줘도 불안한건 남자야 넌 너무 모르지 남자의 사랑을 사랑할수록 더 보고싶고 보면 볼수록 더 안달나고 평생 내 여자로 만들고픈 조급한 마음인걸 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해 하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you Say I love you 사랑할수록 닮아가고 날이 갈수록 더 좋아져 함께 할수록 난 너없인 못살아 너 책임져 사랑을 다줘도 불안한건 남자야 넌 너무 모르지 남자의 사랑을 사랑할수록 더 보고싶고 보면 볼수록 더 안달나고 평생 내 여자로 만들고픈 조급한 마음인걸 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해 하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you 약속해줘 You are the only my love 한 여자만을 사랑하니까 내겐 그 여잔 너 하나니까 자꾸만 니 사랑을 보채도 날 미워하지는 마 평생 내 여자로 살아줄래 나 말곤 없다고 말해줄래 조금도 불안해 하지 않게 한 번 더 말해줄래 Say I love you Say I love you Say I love you Say I love you Say I love you   ,25945,happy
V,Sweet Night,2020-03-13,On my pillow Can’t get me tired Sharing my fragile truth That I still hope the door is open Cuz the window Opened one time with you and me Now my forever’s falling down Wondering if you’d want me now How could I know One day I’d wake up feeling more But I had already reached the shore Guess we were ships in the night Night night We were ships in the night Night night I’m wondering Are you my best friend Feel’s like a river’s rushing through my mind I wanna ask you If this is all just in my head My heart is pounding tonight I wonder If you Are too good to be true And would it be alright if I Pulled you closer How could I know One day I’d wake up feeling more But I had already reached the shore Guess we were ships in the night Night night We were ships in the night Night night ,117676,happy
포맨 (4MEN),너의 눈에 별이 떠 있어,2022-06-13, 너의 눈에 별이 떠 있어 그 빛이 날 부르고 있어 날 봐요 그렇게 아른대게 웃으면 I'm into you 푸른빛이 밀려온다 꿈을 꾸듯 떨려온다 너에게로 빠져든다 너의 눈에 별이 떠 있어 그 빛 속에 내가 서 있어 소리 없이 네가 내게 떨어진다 내 가슴에 안긴다 My love My light My star 까만 밤이 눈부신 이유 모든 빛이 새로 시작된 이유 네가 내게 쏟아진다 나의 품에 번진다 My love My light My star 널 사랑해 아나요 입술에 그대 숨이 닿으면 Blow in my heart 바람빛이 불어온다 달콤함에 젖어 든다 너에게로 빠져든다 너의 눈에 별이 떠 있어 그 빛 속에 내가 서 있어 소리 없이 네가 내게 떨어진다 내 가슴에 안긴다 My love My light My star 널 사랑해 눈을 감아도 왜 눈이 부신 걸까 I'll be your night You Love me like a shining star 난 너의 품에 안기고 싶어 그 품 안에 숨 쉬고 싶어 찬란하게 네가 내게 달려온다 나를 끌어안는다 You're mine I'm yours Forever 까만 밤이 눈부신 이유 모든 빛이 새로 시작된 이유 네가 내게 쏟아진다 나의 품에 번진다 My love My light My star 널 사랑해  ,2053,happy
전건호,다정히 내 이름을 부르면 (남자 Ver.),2021-10-18, 뜨거운 계절을 보내던 날 기분 좋은 바람이 두 빰을 스치는 가을 바다 한곳에 서서 아름다운 너와 나 그림을 그려갔어 모래 위 떨린 손끝으로 날 향해 웃어주는 입술 끝 모양과 태양보다 예쁘게 붉은 두 볼을 가진 네가 다정히 내 이름을 부르면 내 마음이 녹아내려 언제나 나 하날 위해 준비된 선물 같아 널 안으면 잠들지 않는 바다 위를 너와 함께 걷는 것 같아 하늘 아래 너와 나 남은 내 모든 날을 너에게 다 줘도 안 아까워 이제서야 내가 사랑에 눈을 뜬 건 가봐 경험하지 못했고 믿기지 않는 일만 일어나고 있는 거 아니 10월에 피는 코스모스 향기를 가득 담아 부는 바람에 살며시 실어 보내 다정히 내 이름을 부르면 내 마음이 녹아내려 언제나 나 하날 위해 준비된 선물 같아 널 안으면 잠들지 않는 바다 위를 너와 함께 걷는 것 같아 하늘 아래 너와 나 설레이는 지금이 꿈이 아닌 걸 알잖아 난 더 바랄 게 없어 먼 훗날 내 생애 아주 작은 소리로 귓가에 말할 거야 내 곁에 머물러줘서 마음 다해 고맙다고 어떤 말로도 표현 못 할 내 인생의 전부였다고 이 순간 너를 꼭 안고 고백할게 언제나 우리 모든 날들과 햇살 아래 우리 그림자 제일로 특별하다고 세 계절의 끝을 지나서 너의 앞에 서있는 지금 선명한 목소리로 널 사랑한다고 말할게  ,10493,happy
카더가든,Stay,2021-11-28,안경 너머 보이는 흐릿한 세상은 꼭 나 같아 밤새도록 써 내린 노래는 타다 만 나방 같아 Stay my tiny dreams 내 작은 방 별 하나 꺼지면 Stay my shiny dreams 내 친한 벗 날 찾아오겠지 Oh- Stay my tiny dreams 내 작은 방 별 하나 꺼지면 Stay my shiny dreams 내 친한 벗 날 찾아오겠지 뱉어낸 숨으로 하루를 달래고 허기진 몸을 누이면 어질러 놓은 마음 들킬 것 같아 흘러내린 이불로 긴긴밤을 덮어 Oh- Stay my tiny dreams 내 작은 방 별 하나 꺼지면 Stay my shiny dreams 내 친한 벗 날 찾아오겠지 Stay my tiny dreams If I truly loved all the things that I wanted Stay my shiny dreams 내 그리운 벗 날 찾아오겠지 ,6471,happy
이수영,Grace (Feat. 이기찬),2006-05-04,뚜루루 뚜루루 뚜 정말 괜찮을거야 뚜루루 뚜 우리 바보같은 내 사랑을 놓쳐도 라라 라라라라라 라라 라라라라라 괜찮아질거야 마음 여미고 한껏 단장을 하고 그대와 갔던 거리에도 혼자서 씩씩한 걸음 살짝 붉어진 얼굴 너를 잊기 좋은 날 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 사랑 사랑 멀리 떠나라 내 너를 믿고 눈물 흘린 날 두고  정상에 올라 너의 이름 토한 날 나를 누르던 앙금같은 기억도 숨을 몰아서 한껏 뱉어낸 오늘 너를 잊기 좋은 날 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 잊는 것쯤 별거 아니었지만 더 선명해진 그리움이여  어찌하나 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 알아 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 내 사랑아 멀리 떠나라 내 다시 널 붙잡지 않게  ,12627,happy
이하이,내 사랑 (MY LOVE),2016-10-04,늘 멀리서 지켜만봤죠 내 사랑인 것 같아서 그대 같은 마음인 줄 알았죠 다른 곳을 보았지만 바람처럼 이 먼지처럼 잡히지가 않아 보이지않아 Remember love you I love you 사랑인 줄 믿었고 운명이라 불렀죠 Remember love you I love you 그대 눈동자 속에 내가 살고있는데 나에게만 대답해줘요 휘청이는 날 붙잡아줘요 내 사랑 내 사랑 내 마음의 창에 내리는 눈물이 대답해주네 내게 이룰 수 없는 인연이란 잊어야만 하는 사람 멀어지는 나의 사랑을 보내줘야해요 내가 아니니 Remember love you I love you 사랑인 줄 믿었고 운명이라 불렀죠 Remember love you I love you 그대 눈동자 속에 내가 살고있는데 나에게만 대답해줘요 휘청이는 날 붙잡아줘요 내 사랑 내 사랑 ,36432,happy
V.O.S,Beautiful Life,2008-05-15, 변해버린 내 모습에 놀라 잘라버린 긴머리까지 이렇게도 꽤나 내가 괜찮을 줄 나도 정말 몰랐었죠 더 좋은 사람이 되야죠 눈부신 그대 나를 보아요 아름다운 그대 눈빛에 내 전부를 맹세하죠 Oh I believe 당신을 위해서 나 내가 살아왔던 세상을 모두 바꿀꺼에요 이제야 사랑이란 걸 알아가 행복이란 걸 느껴가요 I feel the love 당신의 진심 어린 그 미소에 깨어나는 내 안에 숨었던 세상 You are my life 밤새 우리에게 비춰준 별들도 이젠 사랑을 나누죠 행복만 가득한 이 곳에 난 다시 태어난거죠 Oh I believe 당신을 위해서 나 내가 꿈꿔왔던 세상을 모두 선물할께요 이제야 사랑이란 걸 알아가 행복이란 걸 느껴가요 I feel the love 당신의 진심 어린 그 미소에 깨어나는 내 안에 숨었던 세상 You are my life You are my Soul 내가 살아갈 이유 내앞에 달라져가는 나의 꿈들이 그대 가슴 안에 살아 숨쉬죠 In my heart 마음으로 소원으로 하늘 향해 기도해요 forever 그대와 나 그대와 나 저 파란 하늘 아래서 행복한 당신을 위해 속삭여요 사랑해요 내 삶이 끝날 때까지 함께 할 시간 속에서 I can't live without your love Love of my life You are my life You are my soul beautiful my you are my love   ,18304,happy
이예준,내 생에 아름다운,2022-03-06, Don't walk away I'm falling down Don't walk away I'm falling down 깊어져만 가는 밤하늘 별빛은 여전히 그 자리 그대를 기다리죠 한참을 말하지 않아도 그대 두 눈 들여다보면 나는 알아요 그대를 느끼죠 햇살 안은 밤하늘 수평선 멀리 그대의 별 되어 늘 그대를 지킬게요 내 생에 가장 아름다운 시간들 나 그댈 위해 간직해온 짙은 숨결 그대에게 닿기를 바래요 Don't walk away I'm falling down Don't walk away I'm falling down 점점 멀어지는 한동안 그대 외로이 힘없이 지나간 나날들 나는 아파요 그대를 느끼죠 햇살 안은 밤하늘 수평선 멀리 그대의 별 되어 늘 그대를 지킬게요 내 생에 가장 아름다운 시간들 나 그댈 위해 간직해온 짙은 숨결 전해지길 바래요 오직 나 그대가 내 맘 흐르는 하늘을 바라봐줘요 한걸음 다가와 멀어지진 말아줘요 하루하루 같은 이곳에 남겨져 나 그대에게 머물게요 내 생에 가장 아름다운 그대와 영원히  ,28234,happy
