,가수명,노래제목,발매일,가사,좋아요수,감정
0,양다일,Darling,2020-11-23,Oh darling 처음 널 만나면 수줍은 대화들로 사랑에 빠질 거야 My darling 아마도 우린 손을 마주 잡고서 도시를 거닐 거야 비라도 오면 골목 어귀에 발을 멈추고서 바라보다가 입을 맞출지도 몰라 어둠이 오면 밝게 빛나는 별빛들 아래서 음악에 취해 서로에게 기대어 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 Oh darling 잊지 못할 거야 서로를 품에 안고 온기를 느끼던 날 My darling 따스할 거야 함께 잠이 들 때면 비추는 햇살들이 가끔씩 우린 아쉬울 거야 다른 모습들에 말을 멈추고 어색한 침묵이 올 때면 서운한 마음에 다투다 보면 오직 둘만 아는 그런 말들로 가벼운 미소가 될 거야 Darling My darling 멈춰버린 시간 속에서 우리 둘이서 영원토록 Darling My darling 함께 할 거야 너의 곁에서 눈을 감을 때까지 널 처음 마주한 순간 알 수 있었어 나를 보며 지었던 그 미소 그게 내 전부란 걸 Darling My darling 설레이는 내 마음을 담아 너에게 고백할게 영원토록 Darling My darling 나를 안아줘 너의 곁에서 눈을 감을 때까지 눈을 감을 때까지 눈을 감을 때까지 ,10907,happy
1,장범준,잠이 오질 않네요,2020-10-24,당신은 날 설레게 만들어 조용한 내 마음 자꾸만 춤추게 해 얼마나 얼마나 날 떨리게 하는지 당신이 이 밤을 항상 잠 못 들게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 오오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 당신이 날 힘들게 만들어 갑자기 내 마음 자꾸만 멍들게 해 얼마나 얼마나 잠 못 들게 하는지 고요한 내 마음 항상 시끄럽게 해 매일 같은 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 매일 밤 너를 생각하면서 유치한 노랠 들으며 심장이 춤을 추면서 워오 난 너를 기다리면서 유치한 노랠 부르며 심장이 춤을 추면서 워 나를 떨리게 하나요 그대 왜 나를 설레게 하나요 자꾸만 오늘도 잠 못 이루는 이 밤 아름다운 그대여 나를 아프게 하나요 웃는 그대 왜 자꾸 설레게 하나요 하염없이 오늘 밤 잠이 오질 않네요 보고 싶은 그대여 ,159018,happy
2,백아연,어디라도,2020-11-18,우연의 다른 이름은 운명이란 걸 배웠죠 우리 사랑의 끝이 없는 걸 이제서야 알았죠 어디라도 난 느낄 수 있죠 겨우 한 발 멀어져 있는 거겠죠 손을 내밀면 닿을 수 있는 곳에 그대가 있겠죠 멈춘 가슴이 뛰어요 우리 처음 본 날처럼 문득 스쳐 지나는 기억에 습관처럼 웃어요 어디라도 난 느낄 수 있죠 겨우 한 발 멀어져 있는 거겠죠 손을 내밀면 닿을 수 있는 곳에 그대가 있겠죠 왜 먼저 사랑하고 이별만 알려줘서 두 볼에 눈물을 흐르게 했나요 어디라도 난 느낄 수 있죠 내게 사랑이란 한 번뿐이겠죠 혹시 내 옆에 다른 사람 있어도 사랑은 아니죠 ,1622,happy
3,김제훈,Love Again,2017-02-06,언제부터였을까 따뜻한 휴식을 찾고 있을 때 찾고 있을 때 그때부터였을까 맘이 포근해진 걸 너를 봤을 때 너를 봤을 때 꿈에 그려 봤던 아름답고 멋진 곳을 향해 걸어 봐요 그대와 함께 그대와 함께 어딘가에 있을 그대 슬픔 모두 내가 다 지워 줄게 내 손을 잡고 내 손을 잡고 I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 맑은 햇살 같은 미소를 볼 때면 하루가 즐거워져 이대로 함께 그대와 함께 넓은 세상에서 우연히 만났던 그날을 기억할게 내 손을 잡고 그대 손을 붙잡고 I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 어두웠던 지난날 다시 행복을 찾아준 너에게 어떤 말로 표현할지 낯선 길을 걸어도 나란히 옆에서 있는 널 볼 때면 I Love You Everyday I Fall In Love Again 불안할 때 나를 강해지게 만드는 한 사람 I Fall In Love Again 아껴줄게 세상의 행복을 다 느낄 수 있게 ,980,happy
4,김제훈,잠잠,2020-03-17,오랜만에 거길 가봤어 아무도 없는 둘만이 알던 곳 함께 걷던 거리에 서서 아무 말도 못한 채 한참을 니 생각했어 이런저런 story 떠오른 memory 여전히 넌 예쁜지 이런 내 맘을 너는 알까 애써 멀어지는 나인데 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 우린 끝난사이잖아 흔한 추억팔이잖아 그냥 모르는 척 지나쳐야 해 잠잠 잠잠 마지막을 기억해 돌아섰던 순간도 넌 아직 나를 미워할 거야 아무렇지 않은 듯 하루 끝을 정리하다 문득 너를 생각했어 그 날 그 때 우리 떨리던 목소리 여전히 들리는지 이런 내 맘을 너는 알까 다시 다가가고 싶은데 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 대체 왜 이러는거야 서로 원하고 있잖아 그냥 모르는 척 지나치기엔 점점 점점 친구들은 내게 말해 이젠 좀 잊으라고 다른 더 좋은 사람 만나라고 남이 되고야 알았어 갈 곳을 잃은 것처럼 갈수록 허전함뿐인걸 잠잠하던 바람아 나를 간지럽혀 왜 잠잠한 너 때문에 내 맘이 타들어가 대체 왜 이러는거야 서로 원하고 있잖아 애써 외면하는 우리 둘 사이 잠잠하던 내 맘에 자꾸 불을 지펴 왜 잔잔한 내 마음에 자꾸 돌을 던져 왜 우린 끝난사이잖아 흔한 추억팔이잖아 그냥 모르는 척 지나쳐야 해 잠잠 잠잠 ,548,happy
5,죠지,바라봐줘요,2019-02-21,그대를 다시 볼 수 있다는 생각을 해요 아마도 우린 끝없이 멀리 돌아만 왔죠 엊그제부터 또 생각이 나서 이제 더는 안될 것 같아 그대에게 말해요 아무런 의미 없는 일상에 들어와줘요 그대와 함께하고 싶은 게 참 많은걸요 익숙해질 즘 그댈 기다리는 게 왠지 마주칠 것만 같아 마음이 떨려요 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 혼자서 잠 못 이루고 널 떠올렸던 밤 별들이 반짝이던 그날에 기도했었죠 그대를 다시 다시 볼 수 있다면 어디에 있건 당장이라도 달려갈 텐데 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 I’m the one who found your love 그대 안에 내가 번져서 그간에 맘들이 모두 녹아내리면 내가 꿈꿔왔던 것처럼 그렇게 나를 바라봐줘요 ,70395,happy
6,김제훈,너만 생각하면,2018-01-29,오늘도 어김없이 빗나가는 말투들에 긴 싸움 끝에 결국 널 울리고 말았어 처음에 약속했던 너의 행복을 위해 나를 다 주겠단 그 약속 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 자주 일어나는 사소한 다른 입장 속에서 이해라는 두 글자가 오해로 변했어 억지로 참아 봐도 마주 보는 얼굴 속에서 어둡게 피어난 미움들 왜 이리 힘든 걸까 이 모든 게 내 탓인 걸 난 너만 생각하면 설레임이란 세 글자를 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 익숙함에 빠져 너를 힘들게 했지만 오직 내가 기댈 사람 너뿐이니까 난 너만 생각하면 매일 새로운 설레임을 느껴 난 너만 생각하면 미래를 생각하며 더 일을 해 믿지 못하겠지만 변명처럼 들리지만 너만 생각하면 세상을 다 주고 싶은 진심을 믿어줘 믿어줘 ,375,happy
7,웬디 (WENDY),두 글자,2020-11-15,그대 아무 말 없어도 나의 눈빛은 그대만 봐요 눈망울에 숨겨놓은 그대 이야기 이젠 조금씩 내게 느껴져요 왜 나였는지 언제인지 중요하지 않아요 지금 이 순간 지금 내 곁에 그대라면 사랑이란 두 글자 정말 이상해 귓가에 스쳐만 가도 가슴이 떨리는 내 마음을 어떡할까요 날리는 바람에 흘려 보내봐도 다시 꽃피는 이 사랑을 아무 생각 말아요 그대 걷는 길 어디라 해도 내 마음이 그대 머문 자리에 나를 데려다 줄 테니 걱정이 없죠 어둠이 내린 저 하늘에 밝게 빛나고 있는 별처럼 내 맘이 그대의 길을 비추죠 사랑이란 두 글자 정말 이상해 귓가에 스쳐만 가도 가슴이 떨리는 내 마음을 어떡할까요 날리는 바람에 흘려 보내봐도 다시 꽃피죠 수 없는 날들을 기다려 왔던 내 맘이 그대에게 한 걸음씩 가까워 지고 있죠 사랑이란 두 글자 왜 이래 떠올려 보기만 해도 심장이 떨리는 내 마음이 왜 이럴까요 환한 햇살 속에 숨겨 보려 해도 눈치 없이 다시 피어나죠 ,12288,happy
8,김제훈,Love Road,2017-07-24,매일 마다 만드는 우리의 부드럽고 예쁜 스토리 오늘은 유난히 멋 좀 부리고 제일 먼저 네게 전활 걸어 지금 어디야 오늘 뭐 할래 퉁명스런 너의 말투 나와 갈 곳이 있어 널 위한 Drive 너와 나만의 Love Road 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 모든 게 그림인 걸 내게 가까이 와줘 한 손엔 널 품고 달려 너무나도 특별한 널 위한 Drive 너와 나만의 Love Road 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 달리는 풍경들이 눈이 부셔 예쁜 걸 그 옆엔 So Beautiful Girl 지금 누비고 있는 이 하늘아래 You're My Sunshine Of My Life 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 너와 함께 와 I Just Wanna Love You Forever 어디든 갈께 어디든 갈께 저기 아름다운 Ocean View 소리 질러 와 언제까지나 I Just Wanna Love You Forever ,150,happy
9,태연 (TAEYEON),겨울나무 (I'm all ears),2017-12-12,어제보다 많이 지쳐 보이는 그대의 표정 만져 보곤 알죠 바람이 또 아프게 했나요 왜 아무 말 못해요 좀 솔직해져도 돼요 내게 전부 말해봐요 밤을 새도 괜찮아요 차갑던 그대 하루가 나로 인해 녹을 수 있게요 I am all ears I am all ears 듣고 있죠 두 눈 꼭 감아요 춥지 않게 다 덮어줄게요 눈치 보지 마요 혼자 견디지 않아도 되죠 왜 아무 말 없어요 좀 표현을 해도 돼요 내게 전부 말해봐요 밤을 새도 괜찮아요 차갑던 그대 하루가 나로 인해 녹을 수 있게요 걱정이죠 혹시 또 애써 서 있을까 봐 좀 더 참아요 여기 항상 내가 이 자리에 천천히 다 말해봐요 매일 나 귀 기울여요 차갑던 계절 지나면 또 피어날 거란 걸 알아요 I am all ears I am all ears 듣고 있죠 ,17817,happy
