가수명,노래제목,발매일,가사,좋아요수
V.O.S,잘 살고 있다,2019-12-02, 한잔 술에 잊자 그만 나도 숨 좀 쉬자 제발 마치 주문처럼 매일 읊조렸던 넌 모르는 내 슬픈 혼잣말 친구들 통해 들은 네 소식 너무 잘 살고 있어 날 만날 때보다 더 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘 살고 있다 너처럼 두려워 듣기 싫던 네 소식 막상 듣게 되니 또 이별한 듯이 아파 너는 없었지만 억지로 삼킨 밥들이 친구가 되어줬던 술이 겨우 날 숨 좀 쉬게 해 많이 잊었어 이제 네 얼굴도 까마득해 잘살고 있다 너처럼 너 없는 많은 밤들이 혼자 버틸 날들이 아직 너무 많은데 가끔은 너 철없던 나의 장난에 입꼬리 올라가던 그 미소가 그리워 가진 건 없지만 널 가진 게 전부였어 그래서 무너졌나 봐 너밖에 없었으니까 언젠간 나도 나만 사랑해줄 사람 만나 잘 살고 싶다 너처럼 나도 그럴 수 있을까  ,38548
주보라,네가 없다 (Without You),2013-02-19, 서툰 작별이었는지 아련한 슬픔 속에 눈물이 멈추질 않아 너무나 어렸던 걸까 내 이기적임에 너를 보내고 말았던 걸까 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 서툰 사랑이었을까 나 항상 너에게 없는 사람처럼 느껴질때가 많았어 우리 헤어지자고 말한지 딱 하루 뒤 잠깐의 실수였단 걸 뒤늦게 깨달아버린 순간 아침마다 듣던 네 목소리 따스한 네 품이 벌써 그리운 내가 싫어져 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는지 내 마음을 알 수 없는게 더 아파 이미 뱉어버린 작별인사 안에서 우리 사랑했던 그 기억들만 아침마다 듣던 네 목소린 이제 어제처럼 오늘도 나에게 널 사랑한다 할 것만 같은데 들리지 않아 바보처럼 너를 버린 내가 왜 이제와서 눈물을 흘리는걸까 내 마음을 알 수 없는게 더 아파  ,2956
휘인 (Whee In),헤어지자 (Prod. 정키),2019-09-04, 그럴 수도 있지 생각했어 잊어 보려 했어 지난 날의 모든 걸 노력했어 다시 시작해 보려고 했어 내겐 너 아니면 안 되는 걸 아니까 정말 그랬어 쉽게 잊혀지진 않았어 누구도 그랬을 거야 아무렇지 않진 않아도 이렇게까지 힘이 드는 건 널 처음 만나 설레었던 기억들이 꼭 어제처럼 선명해서 지워지질 않아 내가 알던 네 모습도 이젠 거짓말 같아서 믿을 수 없는 걸 헤어지자 어떻게 네가 그럴 수 있어 마치 내게 했던 말이 무색해지게 다 끝인 거야 쉽게 꺼낸 말은 아니야 누구도 그랬을 거야 아무렇지 않진 않아도 이렇게까지 힘이 드는 건 널 처음 만나 설레었던 기억들이 꼭 어제처럼 선명해서 지워지질 않아 내가 알던 네 모습도 이젠 거짓말 같아서 믿을 수 없는 걸 다 없었던 기억처럼 널 지울 수 있게 아무 말도 하지 말아 줘 왜 바보처럼 네가 했던 그 모든 말들을 난 믿었는데 어떻게 다 잊으라는 건지 내가 알던 네 모습도 이젠 거짓말 같아서 처음 만나 함께한 모든 게 헤어지자 이제 우리  ,115742
헤이즈 (Heize),비가 오는 날엔 (2021),2021-08-04, 세상이 어두워지고 조용히 비가 내리면 여전히 그대로 오늘도 어김없이 난 벗어나질 못하네 너의 생각 안에서 이제 끝이라는 걸 알지만 미련이란 걸 알지만 이제 아닐 걸 알지만 그까짓 자존심에 널 잡지 못했던 내가 조금 아쉬울 뿐이니까 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐가겠지 취했나 봐 그만 마셔야 될 것 같애 비가 떨어지니까 나도 떨어질 것 같애 뭐 네가 보고 싶다거나 그런 건 아냐 다만 우리가 가진 시간이 좀 날카로울 뿐 참 좋아했었던 이런 날이면 아직 너무 생생한 기억을 꺼내놓고 추억이란 덫에 일부러 발을 들여놔 벗어나려고 발버둥조차 치지 않아 이제 너를 다 지워냈지만 모두 다 비워냈지만 또다시 비가 내리면 힘들게 숨겨놨던 너의 모든 기억들이 다시 돌아와 널 찾나 봐 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐가겠지 너에게로 이젠 돌아갈 길은 없지만 지금 행복한 너를 보며 난 그래도 웃어볼게 널 잡을 수 있었던 힘이 내겐 없었으니까 어차피 끝나버린 걸 이제 와 어쩌겠어 뒤늦게 후회나 하는 거지 덜 떨어진 애처럼 비는 항상 오니까 계속 반복되겠지 그치고 나면 그제서야 나도 그치겠지 비는 항상 오니까 계속 반복되겠지 그치고 나면 그제서야 나도 그치겠지  ,73482
스트레이 (The Stray),"그냥, 묻고 싶었어",2021-08-04, 외로운 내 마음의 불꽃은 아픔으로 가득 찬 과거를 불태워 차디찬 이곳에서 벗어나게 해줄 거야 네가 닿지 않는 곳으로 아마도 기억 못 했으면 좋겠어 그래도 난 네가 밉지 않아 다음 눈이 세상을 덮을 때쯤엔 네게 꼭 물어볼 게 있어 나를 사랑했을 때 넌 행복했었니 네가 볼 때 나는 좋은 사람이었니 다시 함께 할 수는 없겠니 혹시라도 말이야 그냥 묻고 싶었어 아마도 기억 못 했으면 좋겠어 그래도 난 네가 밉지 않아 다음 눈이 세상을 덮을 때쯤엔 네게 꼭 물어볼 게 있어 나를 사랑했을 때 넌 행복했었니 네가 볼 때 나는 좋은 사람이었니 다시 함께 할 수는 없겠니 혹시라도 말이야 그냥 묻고 싶었어  ,1761
정키,부담이 돼 (Feat. 휘인 Of 마마무),2017-03-08, 더는 할 말이 없어 다른 이유도 어떤 변명도 난 의미 없단 걸 알아 끝이란 게 다 그렇잖아 더는 물어보지 마 언제부턴지 왜 그런 건지 난 그저 함께한 이 모든 게 힘들었다고 말하잖아 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 나에게 그 모든 게 더는 너에게 말할 수 없는 상처로 남아 내겐 그 모든 게 다 부담이 돼 그렇게 내게 말하지 마 나도 내 맘을 어쩔 수 없는 걸 오늘까지도 많이 힘들었단 걸 너는 알고 있잖아 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 나에게 그 모든 게 더는 너에게 말할 수 없는 상처로 남아 내겐 그 모든 게 다 처음엔 나도 아무렇지 않았어 깊어지면 질수록 너에 품에서 문득 끝이라는 게 너무 두려워서 애써 괜찮은 척만 또 난 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 미안해 이해해줘 더는 너에게 말할 수 없는 그 모든 것이 내겐 부담이 돼 마주하는 지금에도 난 니 품에 안기던 그날 밤에도 입을 맞추던 그 순간에도 미안해 이런 나를 이해해줘 쉽지 않을 걸 알지만 더는 할 수 없는 걸 이 모든 게  ,134026
나비 (Navi),잘 된 일이야,2011-01-19, Hello Hello Hello Hello Hello Don't cry Don't cry Don't cry Don't Hello 가슴이 널 안 놔줘 아무리 떼어내도 계속 너를 잡고 안 놔줘 아무리 잘라내도 먼저 뒤돌아설 거면서 왜 사랑하게 해 눈물이 대체 무슨 죄야 차라리 잘 됐어 잘된 일이야 아프게 상처만 줄 너라면 더 힘들기 전에 미워지기 전에 지금이 좀 더 나을지도 몰라 가슴아 더 사랑하지 말아줘 난 웃고 싶은데 너를 잊고 싶은데 내가 보내줄게 잘 가라 내 사랑아 아파도 웃으며 안녕 질리지도 않나봐 한없이 생각이 나 정말 마르지도 않나봐 한없이 눈물이 나 결국 떠나 버릴 거면서 왜 보고 싶게 해 두 눈이 대체 무슨 죄야 차라리 잘 됐어 잘된 일이야 아프게 상처만 줄 너라면 더 힘들기 전에 미워지기 전에 지금이 좀 더 나을지도 몰라 가슴아 더 사랑하지 말아줘 난 웃고 싶은데 너를 잊고 싶은데 내가 보내줄게 잘 가라 내 사랑아 아파도 웃으며 안녕 Hello Hello Hello Hello Hello Don't cry Don't cry Don't cry Don't Hello 괜찮아 사랑아 나를 떠나도 웃으며 널 놓아줄게 다 줬으니 됐어 그냥 그걸로 됐어 아마 언젠가는 나의 곁이 그리워 너도 아파 올 거야 우는 날이 올 거야 (가슴아) (더 사랑 하지 말아줘) 난 웃고 싶은데 (너를 잊고 싶은데) (내가 보내줄게) (잘 가라 내 사랑아) 슬퍼도 웃으며 안녕 ,42243
펀치 (Punch),안녕 내 전부였던 너,2021-03-10, 안녕 안녕 이제 인사를 해야지 너와 나의 이별인데 아니 아니 나는 그게 안될것 같아 너를 보내는 일 영활보고 밥을 먹는 일도 손을 잡고 거릴 걷는 일도 앞으로는 혼자란 사실에 그게 나를 울게 만드는걸 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 사실 사실 너도 많이 힘들었겠지 이별을 말하기 조금만 더 참을순 없었니 한번만 더 기횔 줄 순 없니 너에게 난 말하지 못했어 좋은 기억 마저 사라질까봐 안녕 내 전부였던 너 사랑해 너라서 난 좋았어 다신 너 같은 사람 만날수 없을거야 잘가 고마워 너무 아파서 소리도 낼 수 없어 너를 어떻게 나 잊겠니 제발 이 말만 듣고 가 진심을 다해 사랑했단 말 잊으라는 건 못해 난 그냥 이게 편해 미안 내 사랑  ,14177
펀치 (Punch),Done For Me,2019-08-18, 지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 깨끗이 지워질 수 있을까 널 벗어날 수 있을까 사랑했던 기억도 다 비워낼 수 있을까 더 이뤄질 수는 없어 난 다가갈 수 없어 미친 듯이 뛰어가 너 없는 곳에 가 사랑은 갔고 남겨진 추억들은 아팠고 네가 내게 남겨줬던 기억은 가시가 됐고 다 사라졌으면 해 모두 지워졌으면 해 나 쉴 수 있게 널 떠날게 가질 수 없는 너란 걸 알고 있어 보낼게 너와의 기억 모두 다 버릴게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 나의 기억에서 떠나가줘 너의 추억들도 가져가 줘 지워줘 너의 그리움까지도 그리워도 그립지는 않게 모든 순간들을 잊어볼게 다 잊을게 너의 작은 흔적까지도 지울게 너에게 남겨줬던 추억까지도 바랄게 너와의 기억도 남지 못하게 더는 다가갈 수 없어 네게 이런 마음이 너무 두려워 너의 기억 모두 가져가 줘 다 지워줘 done for me 너를 떠날 수밖에 멀어질 수밖에 없으니까 이런 나를 제발 용서해줘 언젠가는 우리 다시 만날 수 있기를 done for me done for me  ,100979
펀치 (Punch),이 밤의 끝,2018-05-31, 널 보면 나와 달라 이렇게 난 네 생각뿐인데 널 사랑했던 만큼 아파야 하는 걸까 난 이 밤의 끝을 잡고 잠 못 드네 차가웠던 시간이 다 지나가면 따스한 저 햇살들이 날 비춰 줄까 결국 우린 끝난 사이라 하지만 돌아올 것만 같았어 널 보면 나와 달라 왜 나만 또 네 생각뿐인데 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠이 드네 네가 날 떠나고 후회한 나잖아 지금 넌 아무렇지 않을까 그 차가운 바람이 불어오는 게 난 무서워 다시 안을 수 있다면 난 다 할 텐데 너 없는 밤 아프게 지워가지만 내 맘은 널 그리워해 널 보면 나와 달라 누가 그래 넌 나와 같다고 끝이 보이지 않던 슬픔이 잦아들면 난 이 밤의 끝을 잡고 잠 못 드네 I'll always be with you all night 함께 했던 추억뿐이지만 난 이제 너를 모두 지울래 내 맘이 너무 아파서 널 보면 나와 달라 아직도 난 널 사랑하나 봐 그래 너라도 정말 행복하면 좋겠어 난 이 밤의 끝을 잡고 잠 못 드네 째깍 째깍 초침 소리 시간은 또 흐르는데 넌 어디에 있니  ,47768
